,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,"(7.82079, 327.166, 0.335525)","(7.82085, 371.382, 0.266213)","(7.82819, 365.609, 0.0808617)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(7.82368, 486.222, 0.1358)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(7.7975, 486.13, 0.520505)","(7.81423, 571.457, 0.206412)","(7.82285, 615.637, 0.0962967)","(7.83307, 318.412, 0.120797)","(7.81284, 318.37, 0.415819)","(0, 0, 0)","(7.80367, 321.415, 0.433011)","(7.80521, 624.39, 0.0839835)","(7.76977, 621.522, 0.0723308)","(7.83095, 624.396, 0.0684797)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
1,"(7.80022, 333.117, 0.531772)","(7.81769, 368.487, 0.336626)","(7.82959, 365.51, 0.0863465)","(0, 0, 0)","(0, 0, 0)","(21.0736, 365.594, 0.810245)","(53.449, 433.204, 0.897713)","(0, 0, 0)","(7.81826, 480.299, 0.262427)","(7.83299, 480.348, 0.0962119)","(0, 0, 0)","(0, 0, 0)","(7.78945, 480.237, 0.687431)","(7.81323, 550.89, 0.332741)","(7.8198, 615.59, 0.232989)","(7.8174, 324.23, 0.261544)","(7.80079, 318.47, 0.500271)","(0, 0, 0)","(7.79752, 324.288, 0.311373)","(7.79532, 630.342, 0.181463)","(7.77397, 630.354, 0.17135)","(7.82161, 621.638, 0.164736)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
2,"(7.80582, 338.873, 0.532647)","(7.81037, 365.506, 0.50086)","(7.8189, 362.627, 0.139019)","(0, 0, 0)","(0, 0, 0)","(26.9653, 365.386, 0.848681)","(56.3918, 433.015, 0.923041)","(26.9117, 468.444, 0.750726)","(7.81155, 483.11, 0.394858)","(7.83496, 483.14, 0.159385)","(7.83253, 553.779, 0.0603321)","(0, 0, 0)","(7.77686, 483.134, 0.794831)","(7.80684, 556.83, 0.45061)","(7.81463, 621.444, 0.222308)","(7.81642, 333.034, 0.309079)","(7.79727, 327.24, 0.547057)","(7.82874, 338.848, 0.0818498)","(7.78682, 335.958, 0.523575)","(7.78376, 639.241, 0.164264)","(7.77226, 639.186, 0.16293)","(7.81262, 627.463, 0.152555)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
3,"(6.33354, 336.018, 0.896874)","(7.79422, 368.355, 0.73318)","(7.83264, 365.43, 0.0925334)","(0, 0, 0)","(0, 0, 0)","(35.7474, 368.448, 0.900661)","(59.3235, 430.241, 0.934153)","(32.8507, 465.582, 0.843234)","(7.80543, 480.258, 0.557636)","(7.83673, 480.295, 0.19605)","(7.83352, 565.608, 0.0631179)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(7.78491, 324.222, 0.876126)","(21.0627, 321.401, 0.747548)","(7.81868, 327.162, 0.354334)","(29.9358, 327.231, 0.126644)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
4,"(29.8821, 333.1, 0.857027)","(7.78651, 368.361, 0.758713)","(7.835, 365.334, 0.0660121)","(0, 0, 0)","(0, 0, 0)","(38.8542, 368.496, 0.879708)","(59.4923, 433.04, 0.933842)","(35.963, 465.559, 0.868983)","(7.80192, 483.185, 0.654484)","(7.83642, 483.239, 0.222466)","(7.82253, 559.717, 0.137684)","(7.7633, 598.001, 0.200023)","(18.1203, 483.234, 0.798744)","(7.7805, 559.716, 0.730865)","(7.76573, 597.921, 0.546154)","(0, 0, 0)","(32.8312, 321.26, 0.854942)","(7.79962, 321.331, 0.589114)","(0, 0, 0)","(6.33959, 618.484, 0.428061)","(24.0362, 615.609, 0.412724)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
5,"(32.993, 333.121, 0.925978)","(7.7602, 368.372, 0.879348)","(7.82272, 365.577, 0.226709)","(0, 0, 0)","(0, 0, 0)","(53.3932, 368.49, 0.868755)","(62.3358, 430.118, 0.884813)","(47.592, 468.486, 0.84362)","(7.78707, 483.227, 0.731901)","(7.82215, 483.175, 0.345103)","(7.80217, 574.331, 0.241305)","(0, 0, 0)","(29.9115, 483.293, 0.822039)","(6.33878, 574.298, 0.829441)","(21.055, 603.873, 0.398366)","(29.8006, 321.307, 0.862307)","(35.7961, 321.33, 0.793852)","(7.78571, 321.4, 0.842096)","(0, 0, 0)","(26.9782, 624.398, 0.429715)","(32.8108, 621.604, 0.500459)","(32.7528, 606.843, 0.391195)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
6,"(41.6947, 327.192, 0.847531)","(21.0482, 365.547, 0.817496)","(7.82173, 365.418, 0.360113)","(0, 0, 0)","(0, 0, 0)","(59.3117, 368.45, 0.911045)","(62.3365, 427.246, 0.837023)","(56.4222, 465.505, 0.913611)","(7.77753, 483.131, 0.786961)","(7.81197, 480.302, 0.391082)","(7.82127, 568.465, 0.0889409)","(7.77958, 603.907, 0.081602)","(32.7729, 483.279, 0.857045)","(0, 0, 0)","(0, 0, 0)","(35.7136, 318.416, 0.95281)","(47.5946, 318.421, 0.767098)","(7.77303, 321.341, 0.941075)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
7,"(56.2662, 321.297, 0.923995)","(29.7749, 362.63, 0.841595)","(7.82452, 359.579, 0.375656)","(0, 0, 0)","(0, 0, 0)","(62.337, 365.499, 0.910461)","(62.3844, 430.197, 0.824072)","(59.4311, 465.509, 0.849853)","(7.76027, 477.357, 0.7824)","(7.8076, 477.265, 0.418111)","(7.81191, 553.934, 0.217727)","(7.78078, 621.452, 0.172541)","(33.0338, 480.21, 0.906728)","(29.9322, 556.724, 0.85925)","(0, 0, 0)","(41.658, 315.474, 0.925205)","(56.3804, 315.489, 0.829245)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(7.77083, 633.315, 0.0609305)","(0, 0, 0)","(7.80763, 624.499, 0.133548)"
8,"(59.4247, 318.441, 0.95627)","(32.8698, 362.394, 0.885848)","(7.80888, 353.683, 0.474844)","(7.82594, 418.435, 0.0935144)","(7.80086, 444.905, 0.238204)","(74.0632, 362.613, 0.900519)","(68.1796, 430.13, 0.80004)","(65.2037, 462.578, 0.852287)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(56.321, 315.274, 0.934771)","(62.3226, 315.282, 0.78203)","(29.8894, 315.305, 0.893232)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)","(0, 0, 0)"
9,"(77.0317, 315.541, 0.95445)","(36.0146, 356.578, 0.875445)","(7.78626, 344.933, 0.773608)","(7.81839, 403.695, 0.167213)","(7.77882, 436.094, 0.539349)","(79.9715, 359.633, 0.930217)","(74.1261, 415.459, 0.785101)","(71.152, 462.536, 0.856066)","(26.8931, 477.259, 0.806647)","(7.78366, 474.338, 0.69588)","(7.80635, 556.782, 0.375492)","(7.7967, 639.13, 0.25263)","(44.6348, 477.336, 0.822892)","(38.8486, 556.778, 0.887166)","(7.75907, 642.049, 0.901738)","(62.3998, 309.586, 0.88647)","(79.8207, 309.532, 0.599583)","(35.8576, 312.46, 0.930932)","(0, 0, 0)","(32.8033, 668.648, 0.877418)","(35.7895, 668.455, 0.895306)","(7.77142, 645.122, 0.669271)","(0, 0, 0)","(0, 0, 0)","(7.82066, 647.994, 0.201064)"
