,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,"(38.9199890625, 72.77037083333333, 0.889617)","(32.8998109375, 96.55125277777778, 0.90026)","(21.527602890625, 94.17710972222223, 0.831041)","(8.152305078125, 109.635825, 0.819589)","(23.535971874999998, 95.37809305555555, 0.698623)","(44.282600781250004, 97.74019305555554, 0.885192)","(55.64646953125, 119.17517083333333, 0.888735)","(67.023653125, 122.72247361111111, 0.780992)","(34.2537203125, 159.6078611111111, 0.874292)","(26.878698437500002, 159.61865833333334, 0.854479)","(24.884742187500002, 204.8133388888889, 0.88895)","(25.54090703125, 246.46611527777776, 0.898361)","(41.604448437500004, 158.43885416666666, 0.823185)","(44.9569859375, 203.60820277777776, 0.888831)","(44.942503125, 244.05999583333332, 0.891475)","(36.245807812500004, 70.37587916666668, 0.909556)","(39.580124999999995, 70.37587916666668, 0.772002)","(29.5454046875, 71.57229444444445, 0.832932)","(38.259152343749996, 71.58143055555556, 0.158749)","(49.63516796875, 252.40334166666668, 0.794039)","(50.983471093750005, 250.01590972222223, 0.822984)","(40.94361171875, 248.82323194444442, 0.816841)","(24.208254687500002, 255.96767083333333, 0.775172)","(20.193619062499998, 253.59228194444447, 0.7524)","(27.54724375, 251.19280694444444, 0.830362)"
1,"(38.24910781249999, 72.77867638888888, 0.877596)","(32.227995312500006, 96.56620277777778, 0.908973)","(20.866415781249998, 95.3847375, 0.838045)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(42.94200625, 97.73396388888888, 0.877505)","(55.64366640625, 117.96380555555555, 0.871853)","(67.03883671874999, 122.72122777777778, 0.81035)","(34.2355, 159.62031944444445, 0.878702)","(26.210853906249998, 160.79223333333334, 0.857964)","(24.87423046875, 204.82372083333334, 0.887232)","(24.891282812500002, 246.4644541666667, 0.895599)","(40.278803906250005, 159.59955555555555, 0.841437)","(45.60614296874999, 202.4246611111111, 0.88981)","(44.943671093750005, 242.8777, 0.896911)","(34.91782734375, 70.38044722222223, 0.915136)","(38.9162515625, 70.37172638888889, 0.793171)","(28.219059375, 71.57769305555556, 0.845303)","(36.919959375, 70.39332083333332, 0.153052)","(48.970827343749995, 252.37759444444444, 0.790879)","(50.978332031250005, 248.83942777777776, 0.820046)","(41.59907578125, 247.63138472222224, 0.817042)","(24.214561718749998, 255.97057777777778, 0.779447)","(20.199528984375, 253.60100277777778, 0.751102)","(26.888275781249998, 251.1899, 0.824871)"
2,"(36.92439765625, 72.78075277777778, 0.884038)","(30.893007031250004, 97.7468375, 0.922332)","(18.855757578125, 96.5716013888889, 0.861726)","(1.7897088828124998, 109.66032638888889, 0.777202)","(10.823402890625, 96.5583125, 0.680232)","(42.26948984375, 97.75348194444443, 0.885519)","(55.643432812499995, 115.59962916666667, 0.868055)","(67.70434531250001, 122.73534722222222, 0.870727)","(33.582605468749996, 160.7984625, 0.880559)","(25.54978359375, 161.9795125, 0.860277)","(24.86582109375, 204.8370097222222, 0.876861)","(24.886610937500002, 246.4623777777778, 0.894334)","(40.2767015625, 159.61492083333334, 0.845938)","(45.6185234375, 202.4271527777778, 0.899691)","(44.940400781250005, 242.87354722222224, 0.898876)","(34.24461015625, 70.37961666666666, 0.924376)","(38.24934140625, 70.37214166666666, 0.833022)","(26.88173515625, 71.57354027777777, 0.873513)","(37.58780390625, 72.77078611111112, 0.132222)","(49.627459375, 252.38922222222223, 0.795227)","(50.979266406250005, 250.001375, 0.819072)","(40.937771875, 247.62930833333334, 0.831578)","(24.218532812499998, 255.98095972222222, 0.788667)","(20.20006625, 254.76876388888888, 0.757739)","(26.880800781250002, 251.18906944444447, 0.819627)"
3,"(36.25164765625, 72.79155, 0.885299)","(30.229834375, 97.75306666666667, 0.922372)","(18.194360234375, 97.74185416666667, 0.866656)","(0.0, 0.0, 0)","(0.0, 0.0, 0)","(40.941742968750006, 97.75057500000001, 0.891505)","(54.9865671875, 113.2105361111111, 0.859827)","(67.6936, 122.74365277777778, 0.848179)","(33.5706921875, 160.79804722222224, 0.873011)","(25.537403124999997, 161.9849111111111, 0.860925)","(24.219, 204.83451805555558, 0.866358)","(24.88450859375, 246.4632083333333, 0.890478)","(40.26665703125, 159.6078611111111, 0.852012)","(45.623195312499995, 201.25606944444445, 0.900309)","(44.27629375, 241.69208194444442, 0.885433)","(33.58097031250001, 70.38750694444445, 0.925342)","(37.58546796875, 70.38667638888889, 0.836449)","(26.215525781249998, 71.58101527777778, 0.878317)","(37.587336718749995, 71.58392222222223, 0.126362)","(49.6288609375, 251.21232500000002, 0.823267)","(50.97459453125, 247.6538097222222, 0.832689)","(40.274599218750005, 245.27509861111113, 0.83732)","(24.870025781249996, 255.9780527777778, 0.791983)","(20.864033125000002, 254.77291666666665, 0.759531)","(26.8749609375, 251.1894847222222, 0.809124)"
4,"(35.583803125, 72.78532083333333, 0.889667)","(30.221658593750004, 97.76261805555556, 0.920131)","(18.180297890625, 97.75265138888889, 0.875716)","(1.7862049765624999, 104.8929375, 0.748522)","(2.1317275078125, 100.1388375, 0.298762)","(40.93707109375, 97.7543125, 0.892862)","(54.979559375, 112.0236722222222, 0.854001)","(67.69032968750001, 122.7432375, 0.837942)","(33.5641515625, 159.6265486111111, 0.867493)","(24.887778906250002, 160.81175138888887, 0.85894)","(24.219700781250005, 204.8079402777778, 0.862579)","(24.884975781250002, 247.62557083333334, 0.891146)","(40.26245234375, 158.4417611111111, 0.847722)","(45.62249453125, 200.06754444444442, 0.895824)","(41.6063171875, 240.4873611111111, 0.866639)","(33.561582031250005, 70.39124444444444, 0.9223)","(36.9152875, 70.38501527777778, 0.827976)","(25.553754687500003, 71.59471944444444, 0.87796)","(35.58170078125, 69.20396527777778, 0.120307)","(47.62509375, 251.1857472222222, 0.829905)","(50.29133281250001, 247.62889305555555, 0.823042)","(39.59110390625, 244.0608263888889, 0.843308)","(24.8768, 257.1420763888889, 0.782685)","(21.530195781249997, 254.78039166666667, 0.74876)","(26.2180953125, 251.19239166666668, 0.809715)"
5,"(34.922499218750005, 72.78407499999999, 0.889426)","(29.553346875, 97.7451763888889, 0.923904)","(17.5134578125, 97.73520972222221, 0.876704)","(2.123988546875, 108.44896111111113, 0.659672)","(2.793103828125, 121.54682222222222, 0.143827)","(40.26946015625, 97.73604027777778, 0.908959)","(53.65204609375, 110.84760555555555, 0.865064)","(67.03393125000001, 125.10741388888889, 0.864407)","(32.903314843749996, 159.61824305555555, 0.866735)","(24.87796796875, 160.81133611111113, 0.867769)","(24.2175984375, 204.8245513888889, 0.858628)","(24.887778906250002, 246.45947083333334, 0.889869)","(39.6104921875, 158.42805694444445, 0.854125)","(45.609413281250006, 200.0646375, 0.898032)","(40.26525546874999, 236.9471180555556, 0.891076)","(32.900278125, 70.392075, 0.91425)","(36.2425375, 70.38501527777778, 0.814056)","(25.54020625, 71.59596527777778, 0.862984)","(34.24367578125, 71.58267638888888, 0.147898)","(45.6274, 250.02213888888886, 0.86193)","(47.620655468749995, 246.44950416666666, 0.838599)","(38.264525, 241.67547083333332, 0.812032)","(24.877267187500003, 255.98220555555557, 0.774896)","(21.531387109375, 254.77665416666667, 0.74545)","(26.2208984375, 250.0291986111111, 0.813416)"
6,"(34.915958593750005, 72.77826111111112, 0.88668)","(28.89297734375, 96.57575416666666, 0.921706)","(17.50322640625, 96.57658472222222, 0.878748)","(2.1265043515624997, 108.4618347222222, 0.652128)","(2.7976121875, 121.55014444444447, 0.162204)","(40.255678125, 96.5603888888889, 0.913684)","(52.975325, 110.85341944444444, 0.853262)","(66.36888984375, 127.501075, 0.859937)","(32.8979421875, 159.6049541666667, 0.876368)","(24.8735296875, 160.79929305555555, 0.871882)","(24.221803124999997, 204.80586388888887, 0.870675)","(24.888246093750002, 246.45864027777782, 0.890529)","(39.60441875, 158.4160138888889, 0.865103)","(44.94600703125, 198.86406944444445, 0.887678)","(38.9349390625, 235.76814444444446, 0.906581)","(32.2438796875, 70.3846, 0.905742)","(35.5847375, 70.37961666666666, 0.796775)","(24.889180468750002, 71.58143055555556, 0.848732)","(33.5753640625, 70.39124444444444, 0.168122)","(44.27325703125, 250.01923194444444, 0.832357)","(45.6306703125, 246.458225, 0.854882)","(36.25024609375, 239.31752361111114, 0.798391)","(24.8768, 257.1416611111111, 0.780155)","(21.53496109375, 254.7779, 0.749216)","(26.2218328125, 250.02504583333334, 0.816972)"
7,"(34.9087171875, 72.77826111111112, 0.884438)","(28.89251015625, 96.55914305555555, 0.921643)","(17.503833750000002, 96.56495694444445, 0.880225)","(2.1249018984375, 108.4767847222222, 0.679112)","(2.7996678125, 123.92677916666665, 0.164169)","(39.60932421875, 95.38515277777778, 0.91765)","(51.643840624999996, 112.03239305555554, 0.853797)","(65.0161484375, 128.70413472222222, 0.841198)","(32.89957734375, 158.4401, 0.877552)","(24.87469765625, 159.62571805555552, 0.874908)","(24.22063515625, 204.8278736111111, 0.867849)","(24.88591015625, 246.45448750000003, 0.882823)","(39.60465234375, 158.4052166666667, 0.864847)","(43.60471171875, 200.04345833333332, 0.860553)","(37.593643750000005, 234.56259305555554, 0.911903)","(32.23617109375, 70.38418472222222, 0.90194)","(35.58123359375, 70.37421805555556, 0.825491)","(24.88591015625, 71.57935416666666, 0.846506)","(33.574196093750004, 68.01585555555556, 0.178576)","(40.26011640625, 250.01466388888892, 0.864373)","(44.2748921875, 247.62266388888892, 0.821079)","(34.916192187499995, 235.74987222222225, 0.797585)","(24.869325, 255.9722388888889, 0.769794)","(21.528747499999998, 254.76834861111115, 0.746475)","(26.878698437500002, 250.0238, 0.806505)"
8,"(34.9087171875, 72.77369305555557, 0.882941)","(28.895313281249997, 96.5487611111111, 0.923231)","(17.50967359375, 96.55166805555555, 0.881542)","(2.1223954375, 109.64620694444446, 0.692063)","(2.798336328125, 122.73493194444444, 0.181144)","(39.6076890625, 95.373525, 0.92063)","(50.9584765625, 114.41151944444444, 0.846966)","(61.0235640625, 132.24105555555556, 0.849172)","(32.242010937500005, 158.4135222222222, 0.875185)","(24.871660937500003, 158.4438375, 0.87854)","(24.2175984375, 204.8004652777778, 0.869977)","(24.881238281250003, 245.2755138888889, 0.888589)","(39.599980468750005, 157.2324722222222, 0.862975)","(40.93893984375, 200.05799305555556, 0.862782)","(35.5758609375, 233.38195833333333, 0.907971)","(32.2354703125, 70.3808625, 0.897377)","(35.5814671875, 70.36965000000001, 0.828575)","(24.886143750000002, 71.57727777777778, 0.84734)","(33.572794531250004, 68.01211805555556, 0.174532)","(38.25401328125, 250.02255416666668, 0.854845)","(40.278803906250005, 246.4549027777778, 0.822386)","(33.56835625, 234.5447361111111, 0.789895)","(24.86768984375, 255.9743152777778, 0.805369)","(21.526481640624997, 254.76917916666667, 0.772963)","(26.2218328125, 248.8460722222222, 0.794705)"
9,"(34.9087171875, 72.77161666666666, 0.883475)","(29.5472734375, 96.55540555555557, 0.924083)","(17.514999531249998, 96.55748194444445, 0.882514)","(2.12191890625, 110.83763888888889, 0.706171)","(2.7958835937499997, 125.11779583333332, 0.157994)","(39.60909062499999, 95.38224583333333, 0.917487)","(50.296238281250005, 117.9646361111111, 0.864213)","(59.673625781249996, 136.9889263888889, 0.880086)","(32.24177734375, 158.4143527777778, 0.880356)","(24.87282890625, 158.4417611111111, 0.879177)","(24.21713125, 204.80835555555555, 0.875301)","(24.87703359375, 245.2755138888889, 0.880403)","(39.59624296874999, 157.23745555555556, 0.870647)","(40.263153125, 200.05467083333335, 0.871899)","(33.5819046875, 233.36160972222223, 0.904588)","(32.235003125000006, 70.37920138888889, 0.899477)","(35.584270312499996, 70.36881944444444, 0.842243)","(24.886610937500002, 71.57727777777778, 0.842822)","(32.907052343749996, 68.01294861111111, 0.183681)","(35.57913125, 250.01674027777779, 0.841263)","(38.9227921875, 246.46113194444445, 0.835268)","(31.565289843749998, 234.53850694444444, 0.794795)","(24.873763281250003, 255.9697472222222, 0.815127)","(21.5332325, 254.77042500000002, 0.775881)","(26.214357812499998, 248.84358055555555, 0.777915)"
