,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,"(75, 56, 0.843841)","(69, 82, 0.901784)","(60, 82, 0.779911)","(62, 120, 0.860464)","(73, 149, 0.824877)","(78, 82, 0.799044)","(78, 114, 0.786999)","(88, 113, 0.863399)","(69, 149, 0.664298)","(63, 150, 0.669277)","(63, 198, 0.765985)","(59, 251, 0.810829)","(74, 149, 0.639819)","(70, 199, 0.74146)","(70, 243, 0.804319)","(73, 53, 0.844091)","(76, 51, 0.701408)","(65, 55, 0.892694)","(0, 0, 0)","(82, 251, 0.741414)","(81, 248, 0.640405)","(67, 247, 0.736026)","(67, 263, 0.659498)","(64, 264, 0.659655)","(57, 256, 0.709202)"
1,"(75, 56, 0.81991)","(69, 82, 0.880417)","(60, 82, 0.788951)","(62, 120, 0.868479)","(73, 150, 0.829125)","(77, 83, 0.798712)","(79, 114, 0.783149)","(88, 113, 0.888401)","(69, 148, 0.657108)","(62, 150, 0.679438)","(63, 198, 0.751864)","(59, 251, 0.803795)","(74, 149, 0.663381)","(70, 199, 0.737931)","(70, 243, 0.805264)","(73, 54, 0.83777)","(76, 52, 0.650291)","(65, 55, 0.891852)","(0, 0, 0)","(82, 251, 0.750116)","(81, 248, 0.651777)","(67, 248, 0.745036)","(67, 263, 0.643359)","(63, 264, 0.654945)","(57, 256, 0.70933)"
2,"(75, 56, 0.813677)","(69, 82, 0.860978)","(59, 82, 0.796899)","(62, 119, 0.852951)","(73, 149, 0.846361)","(77, 83, 0.816567)","(79, 114, 0.789898)","(88, 113, 0.894541)","(68, 150, 0.650151)","(62, 151, 0.683018)","(63, 198, 0.764224)","(59, 251, 0.800808)","(74, 150, 0.663261)","(70, 199, 0.744731)","(69, 243, 0.801822)","(73, 54, 0.844667)","(76, 53, 0.623064)","(65, 55, 0.890185)","(0, 0, 0)","(81, 251, 0.741343)","(81, 248, 0.644378)","(67, 248, 0.754707)","(66, 263, 0.651718)","(63, 264, 0.649828)","(56, 256, 0.688201)"
3,"(76, 57, 0.80327)","(69, 82, 0.843891)","(59, 82, 0.79431)","(62, 119, 0.872672)","(73, 149, 0.865649)","(77, 84, 0.794936)","(79, 114, 0.777805)","(88, 113, 0.888501)","(68, 152, 0.648456)","(62, 152, 0.692486)","(62, 199, 0.761168)","(59, 251, 0.803858)","(74, 152, 0.65588)","(70, 199, 0.73441)","(70, 243, 0.805662)","(73, 55, 0.865094)","(76, 54, 0.648795)","(64, 55, 0.888306)","(0, 0, 0)","(81, 251, 0.757696)","(81, 248, 0.657958)","(67, 247, 0.742845)","(66, 263, 0.662422)","(63, 264, 0.66937)","(57, 256, 0.686807)"
4,"(75, 57, 0.799775)","(69, 82, 0.834771)","(59, 82, 0.798294)","(62, 119, 0.879313)","(74, 148, 0.866542)","(77, 83, 0.793614)","(78, 114, 0.781144)","(88, 113, 0.900806)","(68, 153, 0.650432)","(62, 153, 0.679236)","(62, 200, 0.738378)","(59, 251, 0.803593)","(73, 153, 0.633987)","(70, 200, 0.73842)","(70, 243, 0.81198)","(73, 55, 0.848817)","(76, 54, 0.601724)","(64, 55, 0.900844)","(0, 0, 0)","(81, 251, 0.759934)","(81, 249, 0.662241)","(67, 248, 0.745723)","(66, 263, 0.679202)","(63, 264, 0.693085)","(56, 256, 0.707449)"
5,"(75, 57, 0.792302)","(69, 82, 0.827233)","(59, 82, 0.802683)","(63, 120, 0.875501)","(74, 147, 0.871821)","(77, 84, 0.789109)","(78, 114, 0.766465)","(88, 113, 0.894167)","(67, 152, 0.647808)","(62, 152, 0.649315)","(62, 199, 0.730806)","(59, 251, 0.786899)","(73, 152, 0.620817)","(70, 199, 0.740171)","(70, 243, 0.803303)","(73, 55, 0.855181)","(75, 54, 0.50771)","(64, 55, 0.895204)","(0, 0, 0)","(81, 251, 0.721543)","(81, 249, 0.628176)","(67, 249, 0.723022)","(66, 263, 0.698801)","(63, 264, 0.69208)","(56, 256, 0.729332)"
6,"(75, 57, 0.78531)","(69, 82, 0.839101)","(59, 81, 0.799165)","(63, 118, 0.854083)","(76, 147, 0.874777)","(77, 83, 0.799527)","(79, 114, 0.754214)","(88, 113, 0.844877)","(68, 152, 0.647588)","(62, 152, 0.660896)","(62, 199, 0.740793)","(59, 251, 0.788307)","(74, 152, 0.637188)","(70, 199, 0.755169)","(70, 243, 0.812016)","(72, 55, 0.848686)","(75, 54, 0.568943)","(64, 55, 0.907367)","(0, 0, 0)","(81, 251, 0.733502)","(81, 249, 0.637016)","(67, 249, 0.729994)","(66, 263, 0.693877)","(63, 264, 0.6925)","(56, 256, 0.727614)"
7,"(75, 57, 0.785421)","(68, 82, 0.844176)","(59, 81, 0.812737)","(64, 115, 0.829087)","(77, 146, 0.880017)","(77, 84, 0.796704)","(80, 114, 0.819858)","(89, 113, 0.838232)","(69, 152, 0.666913)","(62, 152, 0.677837)","(62, 199, 0.729696)","(58, 251, 0.776113)","(74, 152, 0.647323)","(70, 199, 0.756186)","(70, 243, 0.815817)","(72, 55, 0.85044)","(75, 54, 0.509394)","(64, 55, 0.899913)","(0, 0, 0)","(81, 251, 0.758238)","(81, 249, 0.67028)","(67, 249, 0.741053)","(66, 264, 0.670531)","(63, 264, 0.665005)","(56, 256, 0.742544)"
8,"(74, 57, 0.791822)","(68, 82, 0.841263)","(59, 81, 0.809955)","(65, 115, 0.835217)","(80, 142, 0.82834)","(77, 84, 0.792008)","(80, 114, 0.844081)","(89, 113, 0.831129)","(68, 151, 0.644821)","(62, 152, 0.654813)","(62, 199, 0.745563)","(58, 251, 0.776365)","(74, 151, 0.617201)","(70, 199, 0.75728)","(70, 243, 0.797706)","(72, 55, 0.84785)","(74, 54, 0.498838)","(63, 56, 0.904947)","(0, 0, 0)","(81, 251, 0.741545)","(81, 249, 0.660028)","(67, 249, 0.725346)","(66, 264, 0.660195)","(63, 264, 0.658475)","(56, 256, 0.726218)"
9,"(227, 133, 0.846287)","(241, 152, 0.767819)","(240, 150, 0.598634)","(228, 165, 0.826469)","(213, 166, 0.820082)","(241, 153, 0.791701)","(224, 178, 0.841477)","(211, 175, 0.741468)","(243, 210, 0.667655)","(238, 206, 0.626287)","(212, 217, 0.821575)","(220, 258, 0.78961)","(248, 212, 0.651174)","(230, 230, 0.829341)","(230, 283, 0.688167)","(0, 0, 0)","(228, 128, 0.828428)","(0, 0, 0)","(234, 130, 0.87028)","(225, 290, 0.325094)","(229, 297, 0.324285)","(232, 286, 0.476985)","(210, 264, 0.725704)","(211, 263, 0.673648)","(223, 263, 0.674413)"
10,"(74, 57, 0.80854)","(67, 82, 0.849387)","(59, 81, 0.825973)","(68, 113, 0.838251)","(84, 132, 0.839397)","(77, 84, 0.809809)","(80, 114, 0.826945)","(89, 113, 0.818958)","(68, 152, 0.659302)","(62, 152, 0.641768)","(62, 199, 0.73162)","(59, 251, 0.776654)","(74, 152, 0.666265)","(70, 199, 0.760354)","(70, 243, 0.805689)","(71, 55, 0.837012)","(74, 54, 0.528726)","(63, 56, 0.939455)","(0, 0, 0)","(81, 251, 0.751525)","(81, 249, 0.662008)","(67, 249, 0.731806)","(66, 264, 0.662315)","(63, 264, 0.661503)","(56, 257, 0.731915)"
11,"(74, 56, 0.841735)","(67, 82, 0.863491)","(59, 81, 0.824516)","(69, 109, 0.843324)","(87, 126, 0.872736)","(77, 83, 0.80881)","(80, 109, 0.715809)","(89, 113, 0.696906)","(68, 152, 0.666927)","(62, 152, 0.658325)","(62, 199, 0.741687)","(59, 251, 0.7791)","(74, 152, 0.682822)","(70, 199, 0.770472)","(70, 243, 0.796575)","(70, 55, 0.859855)","(74, 53, 0.637345)","(63, 56, 0.943975)","(0, 0, 0)","(81, 251, 0.749945)","(81, 249, 0.654339)","(67, 248, 0.716183)","(66, 264, 0.677834)","(63, 264, 0.68301)","(56, 256, 0.723147)"
12,"(73, 57, 0.837485)","(67, 82, 0.868977)","(59, 81, 0.815397)","(70, 107, 0.903248)","(90, 120, 0.838)","(77, 83, 0.783277)","(81, 108, 0.46534)","(92, 117, 0.28792)","(68, 152, 0.659712)","(62, 152, 0.644931)","(62, 199, 0.737185)","(58, 251, 0.777738)","(74, 152, 0.681543)","(70, 199, 0.767218)","(69, 243, 0.78798)","(70, 55, 0.88087)","(73, 53, 0.560578)","(62, 55, 0.960644)","(0, 0, 0)","(81, 251, 0.771274)","(81, 248, 0.663667)","(66, 247, 0.739387)","(66, 263, 0.687983)","(63, 264, 0.691007)","(56, 256, 0.713442)"
13,"(73, 56, 0.862918)","(66, 82, 0.895378)","(59, 81, 0.805558)","(70, 105, 0.817653)","(91, 113, 0.85611)","(76, 83, 0.786832)","(78, 116, 0.47549)","(90, 115, 0.160102)","(68, 152, 0.665258)","(62, 152, 0.642993)","(62, 199, 0.743845)","(58, 251, 0.773775)","(74, 152, 0.688191)","(70, 199, 0.76726)","(69, 243, 0.795408)","(70, 53, 0.85032)","(73, 51, 0.569022)","(62, 55, 0.962861)","(0, 0, 0)","(81, 251, 0.773695)","(81, 248, 0.664536)","(66, 248, 0.752452)","(66, 263, 0.683682)","(63, 264, 0.688993)","(56, 256, 0.72263)"
14,"(73, 56, 0.847175)","(67, 82, 0.899711)","(59, 81, 0.811013)","(72, 101, 0.848397)","(92, 104, 0.821356)","(76, 82, 0.801745)","(82, 115, 0.714463)","(92, 113, 0.526639)","(68, 153, 0.656578)","(62, 152, 0.630357)","(62, 199, 0.733355)","(58, 251, 0.77946)","(74, 153, 0.674824)","(70, 199, 0.763942)","(69, 243, 0.798733)","(70, 54, 0.879488)","(73, 52, 0.643516)","(62, 55, 0.96479)","(0, 0, 0)","(81, 251, 0.783336)","(81, 248, 0.672165)","(66, 248, 0.74465)","(66, 263, 0.680069)","(63, 264, 0.693709)","(56, 256, 0.716411)"
15,"(73, 56, 0.844073)","(66, 82, 0.926254)","(59, 80, 0.793307)","(73, 100, 0.867192)","(94, 96, 0.810395)","(76, 82, 0.771557)","(77, 113, 0.688124)","(85, 114, 0.806606)","(68, 152, 0.648951)","(62, 152, 0.630808)","(62, 199, 0.745142)","(58, 251, 0.772141)","(74, 152, 0.669731)","(70, 199, 0.77187)","(69, 243, 0.78981)","(70, 55, 0.871446)","(73, 53, 0.597851)","(62, 56, 0.946946)","(0, 0, 0)","(81, 251, 0.786879)","(81, 249, 0.680792)","(67, 248, 0.748448)","(66, 263, 0.67482)","(63, 264, 0.686384)","(56, 256, 0.712254)"
16,"(73, 56, 0.854094)","(66, 81, 0.933313)","(59, 80, 0.794117)","(74, 95, 0.859482)","(94, 89, 0.819792)","(74, 82, 0.807358)","(78, 113, 0.77551)","(87, 113, 0.853973)","(68, 152, 0.638005)","(62, 152, 0.616412)","(62, 199, 0.737249)","(58, 251, 0.775958)","(74, 152, 0.660909)","(70, 199, 0.761279)","(69, 243, 0.79013)","(70, 54, 0.844336)","(73, 51, 0.610531)","(62, 56, 0.929953)","(0, 0, 0)","(81, 251, 0.788049)","(81, 249, 0.684395)","(66, 247, 0.744158)","(66, 263, 0.67597)","(63, 264, 0.689384)","(56, 256, 0.715784)"
17,"(73, 56, 0.843445)","(66, 81, 0.917768)","(59, 80, 0.777173)","(75, 95, 0.855415)","(95, 82, 0.893294)","(74, 82, 0.7977)","(78, 113, 0.760243)","(87, 113, 0.892334)","(68, 152, 0.630333)","(62, 152, 0.621988)","(62, 199, 0.738639)","(58, 251, 0.770979)","(74, 152, 0.653277)","(70, 199, 0.758665)","(69, 243, 0.791694)","(70, 55, 0.871961)","(73, 52, 0.619757)","(62, 56, 0.932567)","(0, 0, 0)","(81, 251, 0.776683)","(81, 248, 0.674526)","(67, 248, 0.742399)","(66, 263, 0.67759)","(63, 264, 0.689242)","(56, 256, 0.719835)"
18,"(229, 130, 0.712399)","(241, 152, 0.729625)","(241, 147, 0.593893)","(229, 165, 0.79851)","(215, 166, 0.789596)","(241, 152, 0.797882)","(225, 179, 0.854132)","(212, 173, 0.78943)","(243, 210, 0.664252)","(238, 205, 0.639831)","(212, 217, 0.819068)","(220, 257, 0.81484)","(247, 212, 0.654326)","(230, 229, 0.787619)","(230, 282, 0.74244)","(0, 0, 0)","(230, 126, 0.86306)","(0, 0, 0)","(235, 128, 0.854913)","(225, 290, 0.31773)","(229, 291, 0.349374)","(232, 284, 0.512629)","(210, 264, 0.75597)","(210, 263, 0.701856)","(223, 262, 0.679566)"
19,"(228, 130, 0.700363)","(241, 152, 0.745665)","(240, 149, 0.585404)","(228, 165, 0.813029)","(215, 166, 0.77568)","(241, 152, 0.80208)","(225, 179, 0.842695)","(212, 173, 0.791443)","(242, 209, 0.659975)","(238, 205, 0.643606)","(212, 217, 0.813618)","(220, 257, 0.803896)","(247, 212, 0.659674)","(230, 229, 0.782923)","(230, 282, 0.720545)","(0, 0, 0)","(230, 126, 0.850246)","(0, 0, 0)","(235, 129, 0.869416)","(225, 290, 0.326475)","(229, 291, 0.344221)","(231, 286, 0.50662)","(210, 264, 0.740615)","(210, 262, 0.686816)","(223, 262, 0.652795)"
20,"(228, 130, 0.710333)","(241, 152, 0.734819)","(239, 149, 0.588392)","(228, 165, 0.815599)","(215, 166, 0.784356)","(242, 152, 0.811871)","(226, 178, 0.833626)","(212, 173, 0.82631)","(242, 209, 0.665262)","(238, 205, 0.650054)","(212, 217, 0.811742)","(220, 257, 0.802377)","(247, 212, 0.662606)","(229, 229, 0.778186)","(230, 283, 0.713099)","(0, 0, 0)","(230, 126, 0.85581)","(0, 0, 0)","(234, 128, 0.875386)","(225, 290, 0.32077)","(229, 297, 0.318479)","(231, 286, 0.494097)","(210, 264, 0.706404)","(210, 263, 0.674447)","(223, 262, 0.647548)"
21,"(73, 56, 0.826358)","(65, 80, 0.821888)","(58, 80, 0.779427)","(77, 87, 0.942206)","(92, 62, 0.874292)","(72, 81, 0.722205)","(74, 108, 0.693038)","(86, 113, 0.831847)","(67, 149, 0.623185)","(62, 149, 0.596089)","(62, 198, 0.73122)","(59, 251, 0.77111)","(74, 149, 0.638838)","(70, 199, 0.756846)","(69, 242, 0.768539)","(69, 55, 0.884106)","(73, 54, 0.649527)","(62, 56, 0.930122)","(0, 0, 0)","(81, 250, 0.786583)","(81, 248, 0.668129)","(66, 247, 0.7386)","(66, 263, 0.672661)","(63, 264, 0.676688)","(56, 256, 0.700598)"
