,Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,MidHip,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,LBigToe,LSmallToe,LHeel,RBigToe,RSmallToe,RHeel
0,"(55.1939984375, 54.02751619318182, 0.831635)","(41.359455312499996, 81.67032102272728, 0.779625)","(34.632983124999996, 82.502509375, 0.721623)","(37.316087656250005, 138.5448778409091, 0.754239)","(46.70384671875, 179.1400738636364, 0.782823)","(48.497800000000005, 80.84314431818181, 0.69681)","(51.6265546875, 130.41156818181818, 0.501364)","(65.01895156249999, 133.67508522727272, 0.536848)","(47.599865625, 169.4021875, 0.472789)","(41.3495509375, 171.84600284090908, 0.456205)","(42.688276718750004, 227.8889659090909, 0.591148)","(39.1024725, 289.62057386363637, 0.635953)","(53.4084078125, 167.78741761363636, 0.405407)","(48.0217359375, 224.64838352272724, 0.577016)","(48.03621875, 268.5249346590909, 0.744985)","(52.05730156250001, 48.38295681818182, 0.922252)","(55.19586718749999, 48.31236903409091, 0.176808)","(41.77922328125, 49.201299431818185, 0.926008)","(0.0, 0.0, 0)","(62.35645, 276.6429545454546, 0.72089)","(62.321878125000005, 274.9925085227273, 0.616575)","(44.93563546875, 272.5860681818182, 0.560264)","(51.6088015625, 289.6324659090909, 0.352663)","(47.1471609375, 296.95541761363637, 0.351167)","(36.8737078125, 292.085625, 0.486655)"
1,"(55.624278125000004, 54.01749289772727, 0.821052)","(41.7810453125, 81.64560255681818, 0.766648)","(34.642373593749994, 83.28067386363635, 0.701112)","(37.3144525, 139.3161619318182, 0.756713)","(46.706836718750004, 179.12393465909093, 0.785016)","(48.497800000000005, 80.02930369318183, 0.669353)","(52.0582359375, 129.5935653409091, 0.466874)","(65.02689375, 133.67593465909093, 0.482294)","(47.597996875, 167.7899659090909, 0.467361)","(41.356652187499996, 171.8230681818182, 0.449352)","(42.67968046875, 226.26400284090906, 0.605514)","(38.669483125, 289.61292897727276, 0.638707)","(53.3976625, 166.96092045454546, 0.402367)","(48.025006250000004, 224.6364914772727, 0.595721)","(47.60360312500001, 267.70948011363635, 0.725646)","(52.0815953125, 48.36613806818182, 0.921521)","(55.628949999999996, 47.55756392045455, 0.141636)","(41.800153281250005, 49.179384090909096, 0.90576)","(0.0, 0.0, 0)","(62.3503765625, 276.6268153409091, 0.722479)","(61.89813906250001, 274.1974403409091, 0.614461)","(44.91638734375, 271.75532386363636, 0.585838)","(51.17385, 289.6239715909091, 0.346343)","(46.700903437499996, 296.9562670454545, 0.343032)","(36.868148281249994, 291.2871590909091, 0.48616)"
2,"(55.1939984375, 53.22361392045455, 0.81648)","(41.35768, 81.63642869318181, 0.774952)","(34.643074375, 82.47473295454544, 0.724978)","(36.8658590625, 138.50665340909092, 0.748592)","(46.26394296875, 178.3679403409091, 0.775649)","(48.486587500000006, 80.04331931818183, 0.666455)","(51.60179375, 128.79849715909089, 0.424139)","(63.689803125, 133.6496022727273, 0.474739)","(47.5872515625, 167.78147159090906, 0.466495)","(41.343664374999996, 171.82136931818184, 0.453342)","(42.238281718749995, 226.27334659090909, 0.600383)","(38.2309809375, 289.6299176136364, 0.627435)","(52.9561703125, 166.1700994318182, 0.412563)","(48.023604687500004, 224.63479261363634, 0.598435)","(47.59005468749999, 268.50115056818186, 0.713441)","(52.0535640625, 48.3759065340909, 0.921692)","(55.181384375, 47.53751732954546, 0.204672)","(41.359034843749996, 49.201894034090905, 0.93355)","(0.0, 0.0, 0)","(62.327484375, 276.64040625, 0.678144)","(61.45057343749999, 274.2127301136364, 0.581235)","(44.9042871875, 271.7723125, 0.559366)","(51.1733828125, 289.6350142045455, 0.32417)","(46.6992215625, 296.95711647727273, 0.32621)","(36.86772781249999, 292.9027784090909, 0.452538)"
3,"(55.1697046875, 52.42752642045455, 0.813217)","(41.356932500000006, 80.85274289772727, 0.75839)","(34.636346875, 81.66412017045454, 0.739648)","(36.42263828125, 136.89273295454544, 0.708321)","(45.37376390625, 178.35180113636363, 0.797764)","(48.4842515625, 80.01460852272727, 0.631121)","(51.1715140625, 130.39882670454546, 0.460949)","(64.134565625, 133.69292329545453, 0.531005)","(47.142021875000005, 167.78911647727276, 0.464476)","(41.32964875, 171.03734375, 0.453408)","(41.803890781250004, 225.4706335227273, 0.627055)","(38.220609375, 289.61717613636364, 0.637552)","(52.507670312500004, 166.9677159090909, 0.42661)","(47.601734375, 224.6288465909091, 0.622912)","(47.14669375, 268.4884090909091, 0.704382)","(51.6260875, 48.34846988636364, 0.935632)","(54.752506249999996, 47.53140142045454, 0.253348)","(41.34800921875, 49.182781818181816, 0.951147)","(0.0, 0.0, 0)","(61.8915984375, 276.6327613636364, 0.698014)","(61.003007812499995, 274.2084829545455, 0.60796)","(44.48405203125, 271.7672159090909, 0.566488)","(51.61674375, 289.6324659090909, 0.327921)","(46.70155750000001, 296.95796590909094, 0.328217)","(36.4233390625, 292.0830767045455, 0.454185)"
4,"(55.18185156249999, 52.40297784090909, 0.823418)","(41.35398921875001, 80.86650369318181, 0.755639)","(34.635225625, 81.68212812499999, 0.735589)","(36.86212156249999, 136.10276136363638, 0.716118)","(46.258149843750004, 178.32631818181818, 0.769782)","(48.4879890625, 80.01265482954545, 0.625227)","(50.7216125, 130.40477272727273, 0.301713)","(62.801679687500005, 132.868125, 0.420762)","(47.58584999999999, 168.5943778409091, 0.428792)","(41.781512500000005, 171.83920738636365, 0.425371)","(43.121219375, 227.07436079545454, 0.557701)","(38.652477499999996, 289.61632670454543, 0.62292)","(52.5114078125, 166.9685653409091, 0.376161)","(47.5919234375, 223.8465198863636, 0.520443)","(47.5825796875, 266.8838323863636, 0.684671)","(51.636832812499996, 48.33360482954545, 0.926977)","(55.1781140625, 46.74142982954545, 0.19247)","(41.359595468749994, 49.17080482954545, 0.94051)","(0.0, 0.0, 0)","(62.336828125, 275.8546818181818, 0.720304)","(61.885525, 274.18469886363636, 0.608733)","(44.89854078124999, 270.95176136363636, 0.538406)","(51.6200140625, 289.6180255681818, 0.336596)","(47.1462265625, 296.95541761363637, 0.321921)","(36.4227784375, 291.28376136363636, 0.455549)"
5,"(55.1893265625, 51.61614914772728, 0.820605)","(41.361884687499995, 80.86769289772727, 0.75352)","(34.635225625, 81.6994565340909, 0.730205)","(37.3016515625, 137.71158522727274, 0.716957)","(46.26384953125, 178.34925284090906, 0.771369)","(48.50340625, 79.21096107954546, 0.625139)","(50.726284375000006, 128.78660511363637, 0.272921)","(63.233828125, 132.86557670454545, 0.393695)","(47.58584999999999, 166.97366193181819, 0.432428)","(41.781559218750004, 171.0246022727273, 0.416554)","(42.687295625000004, 226.27674431818184, 0.566746)","(38.6559346875, 289.61292897727276, 0.634231)","(52.5104734375, 166.13951988636362, 0.383823)","(47.5984640625, 223.83038068181816, 0.536819)","(47.58538281250001, 266.0743238636364, 0.692617)","(52.0516953125, 48.33080170454545, 0.924126)","(55.181384375, 46.72605511363636, 0.17371)","(41.780578125000005, 49.163075000000006, 0.931401)","(0.0, 0.0, 0)","(62.3354265625, 275.85298295454544, 0.73163)","(61.8817875, 274.18469886363636, 0.614103)","(44.90050296875, 270.94071875, 0.552685)","(51.621415625000004, 289.6197244318182, 0.36357)","(47.151365625000004, 296.95541761363637, 0.343459)","(36.425721718750005, 291.28121306818184, 0.464401)"
6,"(55.18185156249999, 52.40518636363637, 0.819614)","(41.7834746875, 80.86684346590908, 0.753609)","(34.6414859375, 81.69240625, 0.729007)","(36.87431515625, 136.08917045454544, 0.716805)","(46.2617471875, 178.34160795454545, 0.769999)","(48.5029390625, 79.22557130681818, 0.631735)","(50.719276562500006, 127.98898863636362, 0.281124)","(63.22915625, 132.868125, 0.412649)","(47.5872515625, 166.96176988636364, 0.436392)","(41.78744578124999, 170.22188920454548, 0.414043)","(43.567476875000004, 226.27419602272724, 0.553927)","(38.65495359375, 288.8390965909091, 0.613932)","(52.509071875, 165.34869886363634, 0.384783)","(47.58538281250001, 223.81763920454543, 0.484851)","(47.15416875, 266.0743238636364, 0.668898)","(52.048425, 48.342523863636366, 0.922399)","(55.1692375, 47.52171789772728, 0.21747)","(41.36099703125, 49.19535340909091, 0.929147)","(0.0, 0.0, 0)","(62.3377625, 276.6242670454546, 0.708133)","(61.88599218750001, 274.2067840909091, 0.602256)","(44.4888640625, 270.15924147727276, 0.508176)","(51.6153421875, 289.6341647727273, 0.327677)","(47.144825000000004, 296.95541761363637, 0.323552)","(36.421049843750005, 291.2718693181818, 0.468717)"
7,"(55.181384375, 52.40450681818182, 0.821901)","(41.78978171875001, 80.87966988636363, 0.748949)","(35.081763437499994, 81.69529431818182, 0.714827)","(36.8781928125, 136.89358238636362, 0.7156)","(46.263709375, 178.3433068181818, 0.767699)","(48.4992015625, 80.02420710227274, 0.63594)","(50.722546875, 129.58846875, 0.32132)","(63.242237499999995, 132.8630284090909, 0.438208)","(47.5835140625, 166.97536079545455, 0.439164)","(41.787212187499996, 171.02205397727272, 0.426996)","(43.568971874999995, 226.28353977272727, 0.547753)","(38.653925781249995, 289.61717613636364, 0.62403)","(52.07645625000001, 166.14461647727273, 0.391472)","(47.151832812500004, 223.82018750000003, 0.468878)","(47.58584999999999, 266.8863806818182, 0.679495)","(52.05029375000001, 48.348299999999995, 0.927318)","(55.1692375, 47.523416761363634, 0.239657)","(41.363473125, 49.19943068181818, 0.926382)","(0.0, 0.0, 0)","(62.3485078125, 276.6234176136363, 0.709548)","(61.89673749999999, 274.2025369318182, 0.59828)","(44.90237171875, 270.9424176136364, 0.522003)","(51.613473437500005, 289.6341647727273, 0.313812)","(46.70010921875, 296.95711647727273, 0.316245)","(37.305435781250004, 296.9528693181818, 0.458822)"
8,"(55.1743765625, 52.43168863636363, 0.807896)","(41.363473125, 81.63702329545454, 0.757722)","(34.6526984375, 82.4754125, 0.717462)","(36.86356984375, 135.27966193181817, 0.736111)","(46.263709375, 178.35010227272727, 0.767857)","(48.493128125, 80.03372073863636, 0.640889)","(51.1612359375, 129.6029090909091, 0.324588)","(63.685131250000005, 132.87322159090908, 0.412954)","(47.58538281250001, 167.78911647727276, 0.438557)","(41.782633749999995, 171.83326136363638, 0.435876)","(44.01256640625, 227.07690909090906, 0.554186)","(38.2309809375, 289.6248210227273, 0.611351)","(52.510940624999996, 166.1700994318182, 0.384494)","(46.25843015625, 223.84057386363634, 0.441801)","(47.58024375, 267.68569602272726, 0.661457)","(51.634964062499996, 48.36707244318181, 0.921682)","(55.174843749999994, 47.52987244318182, 0.262242)","(41.3549703125, 49.19492869318182, 0.939987)","(0.0, 0.0, 0)","(62.35131093750001, 276.65314772727277, 0.668511)","(61.8990734375, 275.0027017045455, 0.570942)","(44.9005496875, 270.94326704545455, 0.477746)","(51.613473437500005, 289.6401107954546, 0.295205)","(46.7005296875, 296.95711647727273, 0.306)","(36.42768390625, 292.08392613636363, 0.458249)"
9,"(55.1874578125, 54.01426505681819, 0.816324)","(41.7799240625, 81.64203494318181, 0.749824)","(34.649801874999994, 82.49223125, 0.709034)","(37.31094859375, 138.50920170454546, 0.742242)","(46.708565312500006, 178.36963920454545, 0.783006)","(48.49219375, 80.02497159090909, 0.633335)","(51.17431718750001, 131.21258238636364, 0.266798)","(63.235696875, 132.8358465909091, 0.36016)","(47.5919234375, 169.39454261363636, 0.428776)","(41.7821665625, 171.84940056818184, 0.429295)","(43.564627031250005, 228.6942272727273, 0.560739)","(38.670183906249996, 289.63161647727276, 0.623969)","(52.520751562499996, 167.77127840909088, 0.369041)","(47.153234375, 224.63139488636364, 0.484757)","(47.596128125, 266.8838323863636, 0.680565)","(52.0554328125, 48.38482556818182, 0.914011)","(55.1968015625, 47.55917784090909, 0.264873)","(41.36155765625, 49.198921022727276, 0.934146)","(0.0, 0.0, 0)","(62.77458281249999, 276.63615909090913, 0.69677)","(62.327951562500004, 274.9891107954545, 0.594945)","(44.9119490625, 270.9466647727273, 0.511987)","(51.619546875, 289.6299176136364, 0.328981)","(47.148562500000004, 296.9562670454545, 0.327846)","(36.865064843750005, 292.0966676136364, 0.472015)"
