Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	-0	-0	-0	2149	0	976.7	-0
2	-0	-0	-0	2149	0	976.7	-0
3	0	0	0	2149	0	976.7	0
4	-0	-0	-0	2149	0	976.7	-0
5	-0	-0	-0	2149	0	976.7	-0
6	-0	-0	-0	2149	0	976.7	-0
7	-0	-0	-0	2149	0	976.7	-0
8	-0	-0	-0	2149	0	976.7	-0
9	-0	-0	-0	2149	0	976.7	-0
10	-0	-0	-0	2149	0	976.7	-0
11	-0	-0	-0	2149	0	976.7	-0
12	-0	-0	-0	2149	0	976.7	-0
13	-0	-0	-0	2149	0	976.7	-0
14	-0	-0	-0	2149	0	976.7	-0
15	-29.45	79.19	5.34	2283.88	0	966.89	-4085.33
16	45.17	41.05	-12.28	2737.62	0	1035.9	-8313.94
17	20.75	148.32	6.71	2320.23	0	999.04	-21690.7
18	24.95	213.62	27.01	2461.61	0	968.1	10423
19	79.19	329.59	43.95	2358.9	0	999.82	-1779.96
20	31.43	564.42	25.94	2393.71	0	971.89	-2939.65
21	-30.14	722.2	27.77	2414.65	0	973.34	5779.79
22	-65.16	957.03	85.53	2349.25	0	984.2	-42593.8
23	-180.44	935.82	82.47	2384.6	0	975.61	28785.4
24	-34.03	1004.64	105.06	2387.13	0	1000.68	72195.6
25	-17.7	983.73	-63.86	2358.83	0	979.97	-2364.39
26	-127.72	1024.93	2.59	2396.81	0	996.69	-49188.9
27	-168.99	1080.32	-46.39	2349.59	0	985.42	-3326.1
28	-191.73	1092.07	-19.84	2384.72	0	988.91	-1246.67
29	-228.58	1159.97	34.33	2359.23	0	992.43	3201.3
30	-225.14	1127.93	54.09	2353.69	0	985.23	-2083.34
31	-242.77	1252.9	0.08	2363.13	0	985.25	-13492
32	-257.57	1258.24	40.05	2341.83	0	985.42	-4490.32
33	-198.67	1377.11	129.55	2351.15	0	988.91	14831.6
34	-240.25	1350.71	87.2	2328.03	0	982.18	-4714.53
35	-199.43	1473.39	91.48	2314.49	0	982.25	12087.5
36	-197.98	1455.54	121.31	2304.6	0	981.15	-2156.72
37	-176.62	1507.26	134.81	2301.71	0	986.71	507.77
38	-156.02	1508.48	90.64	2284.39	0	981.29	21389.9
39	-136.11	1516.88	115.89	2280.55	0	985	-5063.23
40	-114.82	1547.09	134.66	2278.05	0	981.28	-1458.72
41	-147.4	1540.83	98.42	2242.3	0	979.66	19145.4
42	-65.31	1565.7	113.53	2260.91	0	983.86	-194.05
43	-81.25	1548.46	128.48	2239.07	0	980.56	6758.13
44	-62.03	1550.14	105.51	2226.13	0	982.83	7104.15
45	-9.38	1535.49	73.47	2225.56	0	980.32	-216.91
46	-32.12	1531.68	103.68	2202.26	0	984.32	13381.4
47	22.96	1499.02	93.23	2201.84	0	984.71	1648.81
48	34.64	1486.36	73.47	2185.43	0	983.9	4409.34
49	54.93	1435.7	85.45	2176.18	0	984.11	9074.31
50	86.98	1424.87	94.15	2162.15	0	986.24	-21.27
51	94.45	1352.69	81.86	2148.41	0	985.2	2755.1
52	122.99	1339.87	68.97	2148.86	0	984.05	10766.5
53	127.26	1258.54	72.1	2122.78	0	986.59	-2327.09
54	155.49	1194.76	63.93	2127.27	0	986.23	3093.26
55	151.29	1163.79	50.66	2115.88	0	985.04	3875.48
56	164.18	1049.8	45.09	2085.88	0	987.36	1458.72
57	182.27	1025.09	64.16	2104.06	0	988.06	3252.9
58	155.41	924.07	36.93	2057.6	0	986.24	2696.14
59	193.02	870.97	49.51	2070.12	0	993.4	2858.62
60	170.97	778.05	41.73	2069.24	0	989.65	52.02
61	172.73	725.25	28.31	2033.05	0	988.91	-3335.79
62	187.91	643.92	30.52	2028.73	0	994.13	554.09
63	168.38	563.2	19.38	2021.19	0	987.6	2790.28
64	169.07	512.08	22.28	2020.1	0	991.73	-7463.6
65	160.45	432.89	16.17	2011.13	0	992.72	3177.88
66	147.71	376.89	14.34	1986.21	0	984.47	-4188.59
67	134.28	318.6	15.18	1980.23	0	995.67	-637.24
68	122.38	264.43	9.31	1988.08	0	994.47	846.28
69	123.52	220.34	-0.69	1995.91	0	977.94	-5351.77
70	84.15	166.47	8.93	1903.33	0	1013.61	-3126.52
71	94.68	143.13	1.83	2024.81	0	1002.28	-5454.33
72	85.68	97.96	-6.56	1910.09	0	951.54	191.39
73	54.93	77.36	12.82	1769.32	0	1061.63	-8598.01
74	63.86	59.66	-2.75	2157.13	0	980.45	-3419.79
75	40.21	37.69	2.75	1601.84	0	944.31	-6583.23
76	-0	-0	-0	2149	0	976.7	-0
77	-0	-0	-0	2149	0	976.7	-0
78	-0	-0	-0	2149	0	976.7	-0
79	-0	-0	-0	2149	0	976.7	-0
80	-0	-0	-0	2149	0	976.7	-0
81	-0	-0	-0	2149	0	976.7	-0
82	-0	-0	-0	2149	0	976.7	-0
83	-0	-0	-0	2149	0	976.7	-0
84	-0	-0	-0	2149	0	976.7	-0
85	-0	-0	-0	2149	0	976.7	-0
86	-0	-0	-0	2149	0	976.7	-0
87	-0	-0	-0	2149	0	976.7	-0
88	-0	-0	-0	2149	0	976.7	-0
89	-0	-0	-0	2149	0	976.7	-0
90	-0	-0	-0	2149	0	976.7	-0
91	-0	-0	-0	2149	0	976.7	-0
92	-0	-0	-0	2149	0	976.7	-0
93	-0	-0	-0	2149	0	976.7	-0
94	-0	-0	-0	2149	0	976.7	-0
95	-0	-0	-0	2149	0	976.7	-0
96	-0	-0	-0	2149	0	976.7	-0
97	-0	-0	-0	2149	0	976.7	-0
98	-0	-0	-0	2149	0	976.7	-0
99	-0	-0	-0	2149	0	976.7	-0
100	-0	-0	-0	2149	0	976.7	-0
101	-0	-0	-0	2149	0	976.7	-0
102	-0	-0	-0	2149	0	976.7	-0
103	-0	-0	-0	2149	0	976.7	-0
104	-0	-0	-0	2149	0	976.7	-0
105	-0	-0	-0	2149	0	976.7	-0
106	-0	-0	-0	2149	0	976.7	-0
107	-0	-0	-0	2149	0	976.7	-0
108	-0	-0	-0	2149	0	976.7	-0
109	-0	-0	-0	2149	0	976.7	-0
110	-0	-0	-0	2149	0	976.7	-0
111	-0	-0	-0	2149	0	976.7	-0
112	-0	-0	-0	2149	0	976.7	-0
113	-0	-0	-0	2149	0	976.7	-0
114	-0	-0	-0	2149	0	976.7	-0
115	-0	-0	-0	2149	0	976.7	-0
116	-0	-0	-0	2149	0	976.7	-0
117	-0	-0	-0	2149	0	976.7	-0
118	-0	-0	-0	2149	0	976.7	-0
119	-45.85	81.18	5.11	2264.59	0	1062.65	316.2
120	-0	-0	-0	2149	0	976.7	-0
121	-50.05	257.26	-12.13	2373.96	0	1079.23	-8926.63
122	-73.85	266.72	1.07	2441.64	0	1156.82	13234.9
123	66.45	458.98	19.99	2422.45	0	1122.65	-3061.9
124	-17.62	661.62	20.29	2377.57	0	1107.95	4169.5
125	-3.05	839.08	10.91	2439.42	0	1124.97	10885.6
126	-25.94	1074.98	-17.09	2381.24	0	1108.8	-6262.88
127	-94.6	1135.86	-5.95	2383.91	0	1117.25	39175.6
128	-43.33	1133.88	-55.62	2396.7	0	1110.17	-4366.89
129	-53.86	1089.78	-67.44	2367.72	0	1104.87	-39467.3
130	-63.32	1011.51	56.3	2388.14	0	1119.96	18164.5
131	-65.16	1101.68	67.44	2367.56	0	1110.59	12776.8
132	-208.82	1026.15	-2.29	2377.96	0	1115.27	32171.2
133	-199.97	1109.01	35.55	2364.84	0	1123.11	24645.3
134	-222.85	1114.65	-21.13	2375.86	0	1115.24	-24173.9
135	-266.34	1142.58	-114.59	2358	0	1109.17	13994.3
136	-218.28	1219.33	-48.22	2352.76	0	1121.23	2681.74
137	-221.56	1213.53	-46.77	2367.55	0	1116.37	-4759.72
138	-225.22	1324.92	-78.28	2336.03	0	1117.44	23553.8
139	-195.77	1312.41	-129.01	2346.82	0	1123.17	-5755.52
140	-210.72	1392.21	-87.28	2328.54	0	1114.86	-17321.4
141	-196.99	1396.79	-101.32	2298.75	0	1122.03	16830.6
142	-154.27	1415.71	-133.82	2315.27	0	1124.99	-599.32
143	-134.74	1461.18	-115.05	2315.29	0	1117.96	-7488.49
144	-118.71	1411.59	-93.99	2271.46	0	1128.58	-1742.2
145	-80.26	1499.63	-116.04	2281.65	0	1119.37	-8677.85
146	-101.32	1461.33	-119.93	2274.09	0	1121.19	12020
147	-64.16	1469.88	-78.58	2239.44	0	1123.04	-11101.9
148	-45.24	1482.09	-86.98	2260.79	0	1120.29	-5935.43
149	-42.88	1414.79	-105.44	2235.86	0	1124.87	15624.4
150	13.28	1459.35	-75.84	2224.71	0	1115.84	-11074
151	-22.05	1391.3	-50.13	2215.55	0	1124.14	3006.97
152	40.97	1392.82	-62.41	2205.53	0	1119.89	5842.14
153	28.61	1368.87	-57.37	2196.01	0	1117.2	1040.49
154	32.96	1316.22	-30.59	2180.51	0	1122.18	5572.61
155	115.66	1315	-29.3	2174.99	0	1116.87	-7542.3
156	64.01	1245.12	-53.18	2161.24	0	1116.7	7112.99
157	123.83	1208.5	-37.31	2155.59	0	1114.99	2642.97
158	150.76	1160.74	-16.78	2141.81	0	1117.57	-8952.78
159	111.77	1102.6	-28.99	2132.89	0	1113.88	6283.9
160	163.5	1052.86	-23.5	2129.01	0	1112.21	-3889.56
161	147.93	976.41	-3.2	2099.66	0	1115.94	-433.75
162	161.59	934.3	1.53	2111.96	0	1111.73	-320.35
