Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2297.95	970.7	1103.86	2304.96	989.412	874.149	2143.24	1021.41	1032.19	2142.54	1020.42	934.57	2251.9	1019.73	1134.16	2243.59	1029.58	834.068	2165.97	706.735	1144.05	2173.85	597.163	1132.11	2113.43	707.744	1100.66	2118.38	598.362	1087.87	2039.34	257.268	1100.23	1991.49	189.154	1082.13	2001	286.191	1076.66	1958.28	220.03	1057.68	1864.78	103.576	1015.61	1849.61	63.282	1012.76	1874.95	73.1564	1059.45	2306.74	759.566	804.912	2371.35	671.585	812.372	2253.95	723.557	832.796	2316.26	633.563	841.255	2209.96	414.051	855.994	2143.75	370.268	870.129	2193.97	452.209	890.666	2126.23	409.822	905.42	2028.99	386.884	933.961	1982.5	374.578	932.971	2013.44	362.483	890.404	2058.3	47.1783	987.909	2029.26	38.5676	1095.04	2091.4	185.187	966.249	2067.91	212.11	860.227
0.007	2300.02	972.621	1104.05	2306.89	995.081	875.088	2145.72	1024.89	1032.58	2144.5	1024.87	934.924	2256.63	1023.22	1133.25	2246.57	1036.69	834.614	2157.84	712.62	1143.76	2160.61	602.594	1131.59	2105.76	716.243	1099.95	2105.26	606.854	1087.25	2015.44	264.822	1101.34	1966.96	197.084	1083.56	1977.47	294.331	1077.67	1934.61	228.152	1058.49	1839.94	114.017	1017.05	1822.69	74.6625	1013.73	1848.47	82.5741	1060.43	2312.31	767.025	804.945	2379.69	681.213	813.743	2260.29	729.453	832.26	2325.38	641.461	841.774	2226.8	408.746	856.896	2163.71	360.569	870.938	2208.09	445.93	891.315	2143.18	399.109	905.932	2046.21	369.492	933.661	2002.08	353.27	933.089	2033.64	343.353	890.626	2028.26	47.6408	988.309	1999.57	39.4446	1095.44	2125.22	172.442	966.47	2099.46	197.249	860.753
0.013	2302.02	974.739	1104.33	2308.83	1000.79	876.268	2148.28	1028.57	1032.68	2146.77	1029.65	934.857	2261.37	1026.78	1132.05	2249.4	1043.64	835.072	2150.17	719.217	1143.61	2147.68	609.226	1130.71	2098.58	725.897	1099.51	2093.01	616.718	1086.72	1992.01	273.566	1102.9	1943.6	205.963	1084.94	1954.97	302.906	1078.26	1911.85	237.051	1059.25	1816.55	125.725	1018.33	1797.11	87.5923	1014.64	1823.39	93.3398	1061.32	2318.12	774.499	804.937	2387.46	690.522	814.154	2266.51	735.376	831.29	2334.06	649.346	842.416	2243.71	403.139	858.001	2183.95	350.643	871.449	2222.3	438.77	892.533	2160.81	387.537	906.812	2066.81	350.812	934.389	2022.45	331.637	933.515	2055.3	323.775	891.119	1999.24	48.0159	988.211	1969.59	40.3468	1095.41	2159.72	160.384	966.809	2131.91	183.172	861.175
0.02	2304.21	977.105	1104.35	2311.18	1005.83	877.184	2150.96	1032.44	1032.35	2149.42	1034.45	934.337	2266.1	1030.36	1130.62	2251.73	1049.34	834.843	2143.38	726.282	1142.87	2135.98	616.158	1129.61	2092.43	735.732	1098.63	2081.74	626.85	1085.58	1970.77	283.09	1103.97	1921.54	215.826	1086.33	1933.51	312.084	1078.4	1891.07	246.494	1059.2	1795.1	138.568	1019.55	1773.32	101.953	1015.31	1799.61	104.779	1062.01	2323.67	781.783	804.7	2394.85	699.554	814.855	2272.45	741.368	830.159	2341.41	657.212	841.668	2260.75	397.075	858.986	2204.74	340.537	872.648	2236.92	431.156	893.999	2179.02	375.632	908.082	2087.57	331.794	935.442	2045.25	309.197	934.76	2077.98	304.143	892.021	1972.36	48.2673	989.02	1941	41.1221	1094.68	2194.42	148.614	967.021	2165.22	169.947	861.535
0.027	2306.45	979.596	1104.5	2312.81	1010.41	878.179	2153.71	1036.48	1031.78	2152.31	1039.21	933.73	2270.55	1033.94	1129.11	2254.2	1054.94	834.749	2136.85	734.537	1142.91	2124.4	624.793	1129.85	2086.99	746.202	1097.76	2071.49	637.95	1084.54	1949.78	293.891	1105.46	1900.85	226.353	1088.18	1913.46	322.132	1078.2	1871.17	256.466	1059.46	1775.53	152.219	1020.73	1751.49	117.297	1015.91	1777.76	117.115	1062.6	2328.81	788.921	804.273	2401.72	708.016	815.871	2278.07	747.323	828.967	2349.26	664.639	841.964	2277.83	390.657	860.223	2225.92	330.434	873.854	2252.45	422.407	895.223	2198.4	363.216	909.742	2109.61	312.57	936.735	2068.65	286.926	935.642	2102.17	284.461	893.17	1945.92	48.05	989.441	1914.45	44.4265	1095.39	2231.11	138.322	966.219	2199.38	157.569	861.737
0.033	2308.64	982.358	1104.49	2315.07	1014.81	879.25	2156.51	1040.72	1030.73	2155.45	1044.05	932.821	2274.66	1037.55	1127.8	2256.24	1059.94	834.602	2130.8	743.235	1142.76	2113.59	634.251	1129.95	2082.35	756.808	1096.47	2061.72	649.774	1083.49	1930.22	304.878	1106.76	1881.72	237.042	1090.07	1894.61	332.493	1077.94	1852.27	266.489	1060.06	1757.95	166.669	1022.09	1731.41	133.589	1017.01	1757.86	131.259	1063.49	2333.77	795.419	804.018	2407.78	715.717	816.354	2283.32	752.913	827.892	2355.74	671.406	841.944	2295.21	383.996	861.634	2247.99	319.944	875.364	2267.49	413.664	896.677	2217.88	350.827	911.302	2133.24	293.106	938.729	2095.07	264.3	938.005	2127.24	265.233	894.439	1920.87	48.7261	990.002	1886.71	46.7073	1096.96	2267.76	128.544	966.195	2234.22	146.173	862.012
0.04	2310.97	984.883	1104.7	2317.4	1018.39	879.956	2159.13	1045.03	1029.6	2158.76	1048.7	931.783	2278.21	1041.28	1126.82	2258.74	1064.82	834.799	2124.36	752.492	1143.04	2103.46	644.01	1129.83	2078.22	767.566	1094.7	2053.7	661.241	1081.95	1912.27	316.141	1108.2	1864.3	247.851	1092.19	1877.61	342.958	1077.57	1835.55	276.452	1060.48	1742.16	181.909	1023.78	1713.2	151.09	1018.17	1739.34	146.341	1064.85	2338.4	801.434	803.881	2412.94	722.453	816.849	2288.73	758.669	827.439	2361.3	677.421	842.028	2312.62	376.925	862.731	2270.37	309.597	876.578	2283.24	404.473	898.31	2238.71	337.918	912.706	2158.07	273.996	940.8	2122.05	242.241	940.261	2153.53	245.312	896.258	1896.16	50.836	991.055	1860.9	50.6044	1098.24	2305.06	119.911	966.141	2269.49	135.842	862.304
0.047	2312.94	987.216	1105.18	2319.85	1021.21	880.885	2161.72	1049.52	1028.51	2162.02	1053.19	930.766	2280.78	1045.39	1126.53	2260.68	1069.1	834.964	2118.83	761.373	1142.45	2092.97	654.202	1130.72	2075.35	777.607	1092.21	2046.39	672.315	1080.07	1896.28	327.012	1109.8	1848.27	258.663	1094.14	1862.31	353.435	1077.92	1820.51	286.581	1061.44	1728.18	197.941	1026.03	1696.98	169.562	1020.15	1722.32	162.763	1066.81	2342.19	806.529	804.081	2417	727.783	817.624	2292.6	763.551	827.352	2365.3	682.854	842.753	2330.42	369.663	863.853	2293.51	299.321	878.104	2299.31	394.965	899.616	2259.88	325.313	914.082	2183.69	255.241	942.842	2150.63	220.574	942.279	2181.9	227.573	898.355	1872.39	54.7029	992.567	1835.81	56.0986	1099.36	2342.7	112.661	966.043	2305.29	126.684	862.588
0.053	2315.11	989.338	1105.08	2321.82	1023.55	881.556	2164.24	1054.16	1027.34	2165.03	1057.36	929.966	2285.57	1047.86	1124.96	2263.09	1073.43	835.626	2113.85	769.841	1141.02	2084.49	663.571	1130.05	2073.07	786.946	1089.05	2039.97	682.741	1077.92	1882.6	337.589	1111.25	1834.5	269.14	1096.17	1848.84	363.652	1078.8	1807.02	296.679	1062.9	1715.97	215.041	1028.69	1682.33	189.444	1022.87	1707.62	180.232	1069.53	2344.91	810.241	804.729	2419.56	731.498	818.771	2295.23	767.57	828.122	2367.63	686.86	844.002	2348.37	362.262	864.679	2316.57	289.568	879.295	2315.81	385.331	900.77	2281.57	312.936	915.585	2210.89	236.838	945.132	2180.32	199.482	944.515	2210.76	209.624	900.334	1849.12	60.363	994.206	1812.82	62.9941	1100.35	2380.62	107.09	966.002	2341.38	118.659	863.029
0.06	2316.97	991.12	1105.32	2323.86	1025.02	882.422	2166.67	1058.62	1026.59	2167.86	1061.25	929.429	2288.24	1050.84	1124.73	2265.26	1075.69	835.895	2109.56	777.878	1139.02	2077.26	672.3	1129.22	2071.04	795.135	1085.45	2034.4	691.978	1075.93	1870.97	347.733	1112.74	1822.27	279.433	1098.31	1837.18	373.691	1080.4	1795.04	306.95	1064.97	1705.52	233.262	1031.88	1669.77	210.564	1026.14	1694.58	199.488	1072.75	2346.11	812.684	805.569	2420.3	733.407	820.344	2296.35	770.633	829.718	2368.06	689.413	845.932	2366.24	354.681	865.419	2339.94	279.947	880.492	2332.46	375.385	901.686	2303.62	300.891	917.003	2238.75	219.043	947.344	2211.45	179.363	947.27	2240.56	191.361	903.082	1825.92	67.8067	995.673	1790.5	71.8328	1101.2	2418.36	103.089	965.896	2377.41	111.832	863.518
