Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0	815.218	902.783	1346.79	819.99	895.204	1106.95	664.512	926.384	1270.76	664.527	923.183	1177.9	761.55	962.276	1367.12	754.891	945.238	1079.03	741.698	680.809	1410.01	740.944	570.284	1410.75	684.858	681.257	1371.87	681.224	571.393	1370.33	692.647	257.896	1421.82	704.656	177.822	1414.51	656.958	256.586	1381.64	665.301	177.117	1374.41	646.533	83.144	1367.87	636.547	37.8663	1369.27	666.436	58.9153	1411	761.56	686.431	1037.25	763.553	576.177	1039.54	699.525	685.603	1069.03	696.608	576.465	1068.02	702.479	250.592	1032.93	712.032	171.041	1043.72	664.464	252.713	1069.94	672.87	168.106	1076.04	648.559	82.7683	1088.27	637.935	38.3541	1087.44	667.973	55.5709	1044.42	767.26	816.1	1392.16	733.175	482.22	1396.4	728.641	458.313	1280.22	731.251	419.715	1403.53	776.164	396.184	1358.08	706.553	98.4361	1406.99	725.873	107.688	1324.92	853.344	54.0728	1331.69	819.603	46.7044	1441.64	857.717	64.6158	1380	775.494	807.748	1062.55	742.297	477.29	1058.96	728.107	453.933	1171.84	740.239	413.149	1051.34	787.573	398.697	1103.67	711.424	92.2074	1050.75	729.796	106.256	1133.12	855.159	53.6173	1131.75	823.203	46.7183	1021.3	857.76	66.4477	1084.37
0.007	815.128	902.787	1346.75	819.934	895.205	1106.89	664.449	926.385	1270.69	664.469	923.187	1177.83	761.473	962.28	1367.07	754.842	945.239	1078.98	741.621	680.812	1409.96	740.89	570.288	1410.72	684.792	681.251	1371.81	681.177	571.39	1370.26	692.629	257.903	1421.8	704.651	177.822	1414.5	656.944	256.589	1381.62	665.297	177.107	1374.4	646.537	83.1427	1367.87	636.542	37.8738	1369.27	666.449	58.908	1411	761.539	686.421	1037.2	763.522	576.177	1039.48	699.491	685.598	1068.96	696.572	576.466	1067.95	702.478	250.585	1032.91	712.023	171.027	1043.7	664.456	252.697	1069.91	672.855	168.097	1076.03	648.555	82.7587	1088.26	637.934	38.3539	1087.44	667.972	55.5644	1044.42	767.179	816.103	1392.09	733.128	482.217	1396.37	728.608	458.306	1280.19	731.22	419.721	1403.52	776.145	396.189	1358.07	706.56	98.4262	1407	725.89	107.683	1324.91	853.346	54.0729	1331.7	819.603	46.6929	1441.65	857.715	64.6159	1380.01	775.445	807.757	1062.51	742.276	477.291	1058.92	728.077	453.944	1171.8	740.24	413.14	1051.32	787.55	398.697	1103.64	711.433	92.1922	1050.74	729.792	106.265	1133.12	855.15	53.6122	1131.76	823.209	46.72	1021.3	857.771	66.4387	1084.38
0.013	815.055	902.796	1346.7	819.869	895.232	1106.84	664.372	926.382	1270.63	664.411	923.182	1177.77	761.39	962.263	1367.02	754.799	945.255	1078.93	741.545	680.823	1409.91	740.827	570.29	1410.68	684.725	681.249	1371.74	681.127	571.381	1370.21	692.605	257.908	1421.79	704.633	177.836	1414.49	656.934	256.589	1381.6	665.294	177.1	1374.39	646.54	83.1469	1367.87	636.543	37.8689	1369.27	666.442	58.91	1411	761.509	686.42	1037.16	763.478	576.178	1039.43	699.455	685.601	1068.91	696.538	576.466	1067.89	702.466	250.582	1032.9	712.021	171.036	1043.7	664.433	252.685	1069.89	672.841	168.076	1076.01	648.542	82.757	1088.25	637.931	38.3302	1087.45	667.966	55.5549	1044.41	767.1	816.109	1392.04	733.088	482.223	1396.33	728.581	458.293	1280.15	731.196	419.72	1403.47	776.115	396.189	1358.03	706.555	98.4328	1406.99	725.888	107.681	1324.91	853.344	54.0787	1331.69	819.604	46.6929	1441.65	857.714	64.6169	1380.01	775.401	807.76	1062.45	742.237	477.284	1058.88	728.026	453.951	1171.76	740.213	413.132	1051.29	787.525	398.707	1103.62	711.433	92.1953	1050.73	729.794	106.266	1133.1	855.147	53.6147	1131.76	823.205	46.7256	1021.3	857.763	66.4312	1084.39
0.02	814.988	902.799	1346.65	819.816	895.225	1106.8	664.307	926.375	1270.55	664.356	923.183	1177.69	761.327	962.254	1366.97	754.769	945.266	1078.86	741.468	680.82	1409.85	740.782	570.291	1410.64	684.014	681.324	1371.72	681.081	571.376	1370.17	692.593	257.905	1421.76	704.624	177.83	1414.48	656.916	256.573	1381.58	665.279	177.103	1374.38	646.538	83.1421	1367.86	636.543	37.8661	1369.27	666.449	58.916	1411	761.473	686.414	1037.11	763.46	576.162	1039.39	699.419	685.601	1068.83	696.501	576.456	1067.83	702.467	250.562	1032.87	712.019	171.005	1043.68	664.425	252.671	1069.86	672.824	168.068	1075.99	648.532	82.7479	1088.24	637.928	38.3337	1087.43	667.96	55.5459	1044.4	767.028	816.118	1391.99	733.05	482.227	1396.3	728.551	458.287	1280.12	731.17	419.722	1403.44	776.087	396.193	1358	706.552	98.4256	1406.99	725.903	107.677	1324.91	853.353	54.0718	1331.71	819.602	46.6893	1441.64	857.717	64.6141	1380	775.363	807.764	1062.4	742.216	477.281	1058.83	727.967	453.968	1171.72	740.214	413.124	1051.25	787.487	398.692	1103.58	711.433	92.184	1050.71	729.797	106.265	1133.09	855.147	53.6161	1131.77	823.207	46.7244	1021.31	857.78	66.4275	1084.37
0.027	814.911	902.813	1346.6	819.739	895.218	1106.75	664.24	926.372	1270.5	664.305	923.175	1177.64	761.255	962.256	1366.93	754.724	945.282	1078.81	741.406	680.829	1409.82	740.731	570.297	1410.6	683.955	681.327	1371.67	681.028	571.377	1370.11	692.576	257.906	1421.75	704.613	177.836	1414.47	656.902	256.572	1381.55	665.272	177.097	1374.37	646.533	83.1388	1367.87	636.549	37.8666	1369.26	666.447	58.9123	1411.01	761.452	686.412	1037.08	763.44	576.163	1039.35	699.38	685.597	1068.77	696.459	576.466	1067.77	702.502	250.47	1032.82	712.007	170.992	1043.66	664.411	252.644	1069.83	672.814	168.062	1075.96	648.529	82.739	1088.24	637.921	38.3166	1087.44	667.955	55.5257	1044.4	766.954	816.121	1391.93	733.014	482.239	1396.27	728.532	458.295	1280.09	731.137	419.721	1403.42	776.073	396.204	1357.97	706.551	98.4312	1407	725.886	107.687	1324.91	853.342	54.0744	1331.7	819.603	46.6908	1441.64	857.724	64.6196	1380	775.31	807.761	1062.35	742.183	477.267	1058.8	727.939	453.968	1171.67	740.18	413.116	1051.22	787.476	398.694	1103.57	711.437	92.1733	1050.7	729.802	106.273	1133.07	855.143	53.6129	1131.77	823.194	46.7193	1021.31	857.769	66.4117	1084.37
0.033	814.839	902.824	1346.55	819.689	895.23	1106.7	664.165	926.375	1270.42	664.235	923.173	1177.56	761.185	962.244	1366.88	754.691	945.278	1078.77	741.34	680.823	1409.77	740.675	570.31	1410.56	683.904	681.32	1371.61	680.989	571.369	1370.06	692.557	257.905	1421.72	704.61	177.841	1414.45	656.882	256.579	1381.54	665.274	177.092	1374.36	646.539	83.1369	1367.87	636.547	37.8636	1369.27	666.447	58.9046	1411.01	761.414	686.403	1037.04	763.397	576.151	1039.3	699.339	685.592	1068.7	696.432	576.456	1067.71	702.503	250.452	1032.79	712.006	170.988	1043.65	664.398	252.634	1069.79	672.812	168.047	1075.95	648.519	82.7345	1088.24	637.92	38.3205	1087.42	667.958	55.5239	1044.39	766.882	816.129	1391.88	732.984	482.226	1396.24	728.499	458.28	1280.06	731.108	419.734	1403.38	776.038	396.212	1357.96	706.557	98.4406	1406.98	725.88	107.682	1324.9	853.343	54.0735	1331.69	819.614	46.692	1441.64	857.718	64.618	1380.01	775.266	807.763	1062.31	742.17	477.27	1058.75	727.883	453.976	1171.64	740.185	413.11	1051.18	787.461	398.701	1103.54	711.43	92.1714	1050.68	729.809	106.287	1133.07	855.142	53.6212	1131.78	823.193	46.7204	1021.31	857.789	66.3991	1084.37
0.04	831.509	901.194	1347.83	837.623	893.348	1108.1	681.554	927.522	1270.78	682.177	924.302	1177.95	779.472	962.328	1367.08	773.989	944.374	1078.57	752.614	680.685	1410.21	748.866	570.201	1410.88	695.943	682.66	1371.82	689.303	573.035	1370.21	695.148	258.576	1421.97	705.357	178.328	1414.51	659.534	257.952	1381.68	666.673	178.391	1374.22	646.84	83.5931	1367.48	636.689	38.3563	1369.05	666.714	59.4173	1410.73	775.564	684.897	1040.06	773.293	574.592	1040.12	713.589	685.798	1071.95	706.242	576.958	1068.54	706.216	251.254	1031.96	714.593	171.648	1044	667.791	254.497	1068.45	674.032	170.295	1075.29	649.237	83.6362	1088.66	638.524	39.1244	1087.68	668.444	56.5305	1044.88	781.109	815.203	1393.39	739.224	481.928	1395.79	734.022	458.732	1280.25	735.536	419.972	1403.53	780.443	395.642	1358.34	707.247	99.2014	1406.73	726.375	107.76	1324.57	853.747	53.8015	1331.64	819.722	46.64	1441.62	858.045	64.1774	1379.95	790.864	805.561	1061.34	750.268	475.857	1059.1	732.934	453.215	1171.44	745.038	413.013	1051.79	790.818	393.142	1103.87	712.159	92.9476	1051.68	730.556	106.272	1133.79	856.032	53.487	1132.04	823.438	46.6397	1021.41	858.213	65.7064	1084.63
0.047	831.474	901.199	1347.82	837.607	893.35	1108.1	681.498	927.522	1270.78	682.143	924.301	1177.95	779.423	962.329	1367.08	773.961	944.376	1078.56	752.581	680.685	1410.21	748.837	570.204	1410.89	695.917	682.646	1371.8	689.275	573.033	1370.22	695.134	258.577	1421.96	705.362	178.331	1414.51	659.524	257.949	1381.68	666.664	178.379	1374.23	646.84	83.5837	1367.49	636.693	38.3497	1369.04	666.703	59.4167	1410.73	775.542	684.896	1040.06	773.301	574.597	1040.11	713.578	685.792	1071.96	706.219	576.953	1068.55	706.217	251.253	1031.96	714.591	171.642	1044	667.785	254.488	1068.45	674.031	170.294	1075.28	649.244	83.6341	1088.66	638.512	39.137	1087.68	668.506	56.5025	1044.89	781.07	815.211	1393.39	739.197	481.929	1395.8	734.012	458.728	1280.25	735.52	419.975	1403.53	780.415	395.623	1358.35	707.247	99.1985	1406.73	726.38	107.753	1324.59	853.746	53.8089	1331.63	819.717	46.6286	1441.61	858.046	64.1715	1379.94	790.841	805.553	1061.33	750.266	475.863	1059.1	732.936	453.221	1171.45	745.038	413.013	1051.8	790.808	393.14	1103.87	712.166	92.9531	1051.68	730.556	106.277	1133.79	856.046	53.4902	1132.03	823.439	46.6424	1021.42	858.22	65.7054	1084.63
0.053	831.43	901.198	1347.83	837.574	893.346	1108.1	681.467	927.513	1270.77	682.102	924.304	1177.95	779.376	962.327	1367.08	773.934	944.373	1078.57	752.542	680.685	1410.2	748.82	570.201	1410.88	695.879	682.641	1371.8	689.253	573.024	1370.2	695.127	258.578	1421.97	705.355	178.321	1414.51	659.516	257.945	1381.69	666.661	178.38	1374.22	646.843	83.5872	1367.48	636.692	38.3607	1369.05	666.704	59.4162	1410.72	775.531	684.901	1040.06	773.28	574.593	1040.11	713.552	685.8	1071.96	706.211	576.956	1068.54	706.207	251.243	1031.96	714.591	171.642	1044	667.781	254.489	1068.44	674.029	170.29	1075.29	649.229	83.6409	1088.65	638.524	39.1379	1087.69	668.51	56.5009	1044.88	781.061	815.076	1393.12	739.166	481.934	1395.8	734.013	458.73	1280.24	735.513	419.975	1403.53	780.417	395.628	1358.36	707.255	99.1909	1406.72	726.388	107.745	1324.59	853.739	53.8077	1331.62	819.729	46.6417	1441.61	858.041	64.1761	1379.95	790.811	805.555	1061.32	750.253	475.854	1059.1	732.925	453.203	1171.42	745.009	413.005	1051.79	790.795	393.144	1103.86	712.163	92.9453	1051.68	730.549	106.278	1133.79	856.043	53.4881	1132.03	823.444	46.6326	1021.42	858.216	65.7121	1084.64
0.06	831.387	901.204	1347.82	837.55	893.355	1108.11	681.423	927.511	1270.75	682.067	924.3	1177.93	779.326	962.32	1367.07	773.907	944.365	1078.57	752.506	680.692	1410.2	748.78	570.202	1410.88	695.847	682.647	1371.79	689.228	573.016	1370.2	695.116	258.571	1421.96	705.348	178.331	1414.51	659.509	257.942	1381.68	666.66	178.372	1374.22	646.841	83.5818	1367.49	636.698	38.3554	1369.05	666.705	59.4197	1410.73	775.513	684.895	1040.06	773.259	574.601	1040.11	713.549	685.787	1071.96	706.202	576.953	1068.55	706.212	251.252	1031.96	714.588	171.64	1043.99	667.776	254.491	1068.43	674.032	170.285	1075.29	649.241	83.6295	1088.66	638.523	39.1435	1087.68	668.45	56.5316	1044.89	780.997	815.202	1393.38	739.023	482.258	1396.61	733.998	458.732	1280.25	735.501	419.974	1403.52	780.401	395.635	1358.35	707.246	99.1935	1406.73	726.393	107.747	1324.59	853.745	53.8085	1331.63	819.725	46.6371	1441.61	858.039	64.1729	1379.95	790.796	805.562	1061.32	750.245	475.859	1059.1	732.917	453.206	1171.42	745.012	413.013	1051.79	790.792	393.144	1103.87	712.168	92.9523	1051.68	730.553	106.281	1133.79	856.041	53.4993	1132.03	823.446	46.638	1021.42	858.214	65.7101	1084.64
