Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2181.46	947.845	1118.19	2203.01	974.89	934.85	2032.92	1006.56	1052.76	2035.12	1009.65	966.706	2148.08	1020.64	1148.14	2139.57	1041.06	874.06	1974.71	730.235	1165	1946.67	625.085	1144.77	1934.68	752.448	1111.39	1902.31	648.887	1090.82	1736.64	339.756	1105.58	1703	268.222	1086.14	1715.09	362.337	1062.12	1679.34	292.944	1043.83	1622.02	236.644	1022.06	1582.47	218.139	1009.41	1604.15	196.069	1053.77	2252.1	785.636	828.991	2342.96	724.238	841.619	2211.95	735.181	852.867	2301.1	671.166	869.386	2256.24	444.61	877.609	2214.13	376.419	890.746	2223.47	472.61	908.824	2179.95	400.663	919.318	2110.84	339.967	953.977	2072.63	311.967	951.15	2105.4	311.931	906.507	1722.61	60.5066	985.611	1675.51	69.6225	1078.65	2245.66	180.028	954.752	2208.63	206.672	863.342
0.007	2183.27	951.756	1118.89	2203.67	978.302	935.908	2034.95	1011.72	1053.08	2037.28	1014.45	966.921	2149.86	1025.62	1148.2	2141.37	1045.61	874.579	1971.24	739.232	1165.39	1941.22	634.591	1145.64	1933.31	761.797	1110.36	1898.51	658.902	1090.51	1726.86	351.826	1106.97	1692.44	280.415	1088.14	1705.76	374.065	1063	1669.67	304.713	1045.05	1615.91	254.473	1023.82	1575.43	239.378	1009.59	1593.94	215.042	1054.15	2251.51	788.61	831.022	2342.6	727.572	843.449	2211.48	738.372	854.773	2300.81	674.275	870.868	2269.85	437.053	877.193	2232.63	366.222	890.333	2235.28	462.541	908.684	2196.87	387.856	918.971	2132.05	322.29	952.77	2096.22	291.634	949.983	2128.72	294.076	905.653	1704.33	70.4977	987.949	1655.65	79.5537	1078.07	2277.86	171.981	955.178	2239.63	195.702	863.5
0.013	2184.77	955.727	1119.61	2205.01	980.767	936.138	2036.59	1016.6	1053.53	2038.86	1018.78	967.177	2151.28	1030.25	1148.6	2142.86	1049.3	875.097	1969.2	747.127	1165.88	1937.8	642.811	1146.68	1932.76	769.725	1109.95	1896.37	667.17	1090.77	1718.11	364.142	1107.59	1682.17	293.314	1089.36	1697.59	386.314	1063.28	1660.47	317.445	1045.78	1609.78	271.964	1025.3	1568.61	260.388	1009.57	1584	233.875	1054.11	2250.36	790.896	833.157	2341.08	729.535	844.955	2210.68	741.059	858.749	2299.05	675.801	871.903	2282.81	428.922	876.652	2250.76	355.675	890.016	2246.77	452.063	908.536	2213.82	374.546	918.846	2153.45	304.409	951.537	2120.18	271.168	948.894	2153.73	275.115	905.117	1685.85	81.582	989.964	1635.83	88.7468	1076.38	2309.86	164.87	956.221	2270.84	185.027	864.203
0.02	2186.04	959.779	1120.2	2205.51	983.047	936.394	2038.04	1021	1054.05	2039.93	1022.51	967.623	2152.45	1034.62	1149.28	2143.75	1052.26	875.51	1968.54	753.386	1166.54	1936.16	649.361	1147.61	1932.74	776.07	1110.3	1895.4	673.949	1091.34	1709.86	375.984	1107.75	1672.12	306.042	1090.26	1690.56	398.106	1062.92	1652	329.9	1045.81	1604.58	289.228	1026.57	1563.12	281.607	1009.47	1574.64	253.099	1053.93	2248.76	792.136	834.916	2338.95	729.792	846.312	2208.72	742.703	860.836	2296.27	676.387	872.745	2295.34	420.166	876.235	2268.46	344.793	889.65	2257.9	440.651	908.369	2230.23	361.299	918.439	2175.31	286.174	950.423	2144.42	250.566	947.788	2178.06	256.591	904.238	1663.54	93.376	989.767	1611.69	104.311	1074.65	2341.44	158.796	957.763	2301.81	175.012	865.173
0.027	2187.02	963.77	1120.61	2205.79	985.12	936.352	2038.93	1025.04	1054.82	2040.49	1025.69	968.103	2153.35	1038.73	1149.87	2144.12	1054.59	875.67	1969.13	758.131	1167.61	1936.09	654.363	1148.8	1933.12	781.107	1111.59	1895.48	679.122	1092.26	1702.68	387.569	1108.12	1662.58	318.868	1090.8	1684.76	409.743	1062.71	1644.22	342.692	1045.72	1597.58	306.522	1026.83	1555.72	302.454	1008.69	1564.63	272.292	1053.27	2246.83	792.271	836.239	2336.05	728.528	847.316	2206.22	743.851	862.937	2292.65	675.969	874.101	2306.7	410.675	875.805	2285.38	333.847	889.32	2268.25	428.764	908.231	2246.27	347.68	918.513	2196.99	267.689	949.216	2168.82	229.469	946.804	2202.02	237.897	903.4	1644.5	107.526	990.133	1590.89	121.089	1073.21	2372.33	153.796	959.744	2332.52	165.613	866.588
0.033	2187.77	967.655	1121.07	2205.42	987.43	936.219	2039.61	1028.73	1055.62	2040.57	1028.32	968.625	2154.13	1042.69	1150.47	2143.94	1056.28	875.573	1970.49	761.499	1168.84	1937.37	657.682	1149.79	1933.87	784.625	1113.28	1896.47	682.678	1093.53	1696.55	399.111	1108.45	1652.46	332.519	1091.34	1680.41	421.967	1062.92	1636.42	357.098	1045.81	1589.34	323.742	1027.23	1547.75	321.907	1008.73	1554.13	291.221	1053.16	2244.21	791.339	836.926	2332.28	725.826	847.926	2202.82	744.173	864.93	2287.91	674.588	875.831	2317.23	400.786	875.382	2301.44	322.531	889.253	2277.83	416.251	908.138	2261.78	333.828	918.693	2218.49	249.404	948.199	2193.46	208.932	946.09	2226.38	219.501	902.858	1626.37	122.454	989.71	1571.99	138.238	1071.37	2402.29	149.953	962.083	2362.47	156.867	868.359
0.04	2188.33	971.24	1121.21	2205.7	989.085	935.619	2040.07	1031.83	1056.33	2040.37	1030.57	969.422	2154.98	1046.37	1150.68	2143.45	1057.71	875.476	1972.61	763.513	1170.26	1939.87	659.58	1151.01	1935.03	786.755	1115.32	1898.44	684.523	1095.14	1691.31	410.988	1108.81	1644.05	346.645	1091.28	1676.55	434.672	1063.24	1629.08	372.307	1046	1580.18	341.108	1027.6	1538.99	340.705	1009.1	1543.56	309.704	1053.21	2240.84	789.341	837.404	2327.29	721.478	848.259	2198.47	743.487	866.349	2282.1	671.929	877.656	2326.8	390.555	875.163	2316.8	311.645	889.48	2286.51	403.437	907.929	2276.67	320.151	918.948	2239.72	231.487	947.157	2218.21	189.189	946.057	2250.65	201.562	902.638	1608.57	139.719	986.643	1555.25	156.093	1069.75	2430.85	147.105	964.636	2391.61	148.935	870.685
0.047	2188.89	974.537	1121.29	2205.43	990.8	935.161	2040.39	1034.57	1057.23	2040.12	1032.41	970.3	2155.59	1049.68	1150.89	2142.66	1058.92	875.469	1975.42	764.284	1171.58	1943.55	660.072	1152.18	1936.44	787.463	1117.59	1901.21	684.866	1097.02	1687.2	422.742	1109.18	1636.61	361.075	1091.13	1673.31	447.714	1063.84	1622.82	388.022	1046.2	1570.94	358.483	1028.02	1529.09	360.055	1009.92	1533.42	328.084	1053.53	2236.77	786.154	837.773	2321.19	716.104	848.58	2193.15	742.041	867.793	2275.05	668.336	879.192	2335.38	380.304	875.178	2331.16	300.877	889.794	2294.59	390.375	907.893	2290.85	306.79	919.714	2260.74	214.154	946.351	2242.59	170.397	946.104	2274.51	184.031	902.604	1592.42	155.742	986.361	1540.48	173.944	1068.25	2457.8	145.487	967.439	2419.45	141.897	873.07
0.053	2189.33	977.404	1121.36	2205.18	992.469	934.806	2040.66	1036.88	1058.38	2039.92	1033.89	971.251	2155.86	1052.99	1151.03	2141.54	1059.92	875.616	1978.9	763.957	1172.84	1948.04	659.496	1153.52	1938.12	786.952	1119.99	1904.59	683.9	1099.05	1683.91	434.677	1109.42	1630.67	375.605	1090.9	1671.19	460.849	1064.63	1617.87	403.836	1046.48	1562.67	376.011	1028.62	1520.57	379.005	1011	1524.41	346.434	1054.3	2232.23	782.188	838.017	2314.61	709.699	848.959	2187.57	740.11	869.15	2267.4	663.947	880.705	2343.2	370.139	875.331	2344.55	290.83	889.746	2301.77	377.508	908.219	2304.14	293.096	920.502	2281.06	198.052	945.73	2266.41	153.017	946.636	2297.67	167.893	902.902	1578.44	173.538	984.386	1527.61	191.868	1067.17	2482.63	145.148	970.403	2445.83	136.01	875.913
0.06	2189.79	979.692	1121.45	2204.97	993.978	934.61	2040.97	1038.68	1059.48	2039.82	1035.01	972.279	2155.89	1055.84	1151.02	2140.52	1060.87	876.202	1982.69	762.812	1173.99	1953.24	658.003	1154.58	1940.04	785.46	1122.44	1908.47	681.911	1100.89	1683.52	445.7	1109.25	1625.97	390.213	1090.76	1670.87	473.545	1065.24	1614.43	419.666	1046.76	1555.88	393.603	1029.58	1513.37	398.211	1012.62	1517.56	364.585	1054.94	2227.47	777.978	838.344	2307.41	702.576	849.608	2181.87	737.86	870.806	2259.07	659.063	882.517	2349.95	360.62	875.794	2356.89	281.32	890.098	2307.98	364.433	908.902	2316.4	280.871	920.666	2300.4	183.273	945.573	2289.16	137.295	947.661	2319.77	153.182	903.786	1566.09	191.735	982.649	1516.56	210.299	1066.03	2505.14	146.124	973.548	2470.16	131.57	878.933
