Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	-223.77	1810.76	83.16	2149.89	0	965.81	16810.4
2	-199.66	1893.77	93.31	2150.88	0	961.44	17316.9
3	-254.75	1834.87	91.63	2104.53	0	963.18	-6826.09
4	-148.01	2002.56	95.06	2125.98	0	964.26	10925
5	-205.38	1929.93	41.66	2108.88	0	958.03	32516.3
6	-146.94	2007.29	87.66	2076.79	0	962.5	-10757.6
7	-93.46	2035.06	101.47	2113.15	0	962.14	14859.4
8	-163.8	1979.83	57.3	2063.24	0	959.14	27856.3
9	-30.36	2068.63	94.6	2069.32	0	960.87	92.04
10	-118.33	2000.12	121.92	2062.82	0	961.92	21061.2
11	-58.21	2003.33	79.12	2042.47	0	961.18	13640.8
12	-25.86	1989.59	82.55	2053.22	0	960.2	9868.87
13	-100.63	1925.66	89.87	2013.22	0	958.41	19275.5
14	58.14	1947.94	83.31	2037.67	0	959.2	-2212.88
15	-62.79	1845.09	62.64	2000.72	0	955.55	20977
16	18.77	1864.47	78.2	2007.31	0	957.79	18047
17	71.03	1805.11	87.05	2003.33	0	958.87	-1231.44
18	15.72	1775.82	74.62	1982.52	0	956.43	21568.6
19	122.99	1753.23	78.96	1985.37	0	959.51	8281.21
20	96.51	1677.7	75	1959.2	0	959.59	6987.26
21	144.42	1657.87	59.59	1966.74	0	956.4	16524.2
22	160.52	1601.1	47.53	1941.1	0	960.53	1977.34
23	153.5	1533.81	35.25	1929.69	0	957.06	15707.3
24	197.68	1505.74	37.92	1934.71	0	960.01	12514.6
25	188.22	1389.77	22.74	1896.09	0	961.99	4764.54
26	221.18	1378.33	24.95	1912.1	0	958.2	14861.5
27	219.19	1268.92	23.88	1879.2	0	965.04	6271.72
28	240.71	1196.9	10.07	1871.6	0	964.45	9076.84
29	249.02	1154.33	8.7	1883.46	0	962	7198.37
30	240.1	1032.41	-0.92	1837.06	0	967.76	3322.74
31	264.97	1004.33	-5.95	1860.8	0	963.75	8463.2
32	229.49	912.48	-8.7	1833.24	0	962.65	14396.9
33	257.42	824.58	-7.78	1828.37	0	970.98	1551.67
34	238.04	756.84	-18.46	1820.49	0	960.15	8360.24
35	207.21	690.16	-7.48	1801.64	0	968.78	10632.8
36	225.6	593.26	-7.1	1812.52	0	974.65	-3119.53
37	182.27	545.96	-14.72	1786.82	0	961.57	7555.42
38	184.63	461.43	-5.8	1767.17	0	973.76	-1672.14
39	172.04	396.58	-10.6	1779.4	0	968.1	2754.26
40	140.53	353.55	-5.65	1776.33	0	966.63	3839.4
41	141.53	301.21	-7.02	1759.8	0	965.24	-2906.8
42	116.81	249.94	-4.81	1719.5	0	954.87	2971.35
43	114.9	216.98	6.03	1805.47	0	972.34	-1238.04
44	95.9	180.66	4.43	1713.72	0	961.05	2408.75
45	80.8	140.38	5.04	1723.72	0	953.53	-3224.95
46	83.62	127.87	13.66	1830.65	0	979.93	-2941.56
47	58.75	89.26	4.88	1585.71	0	937.94	7407.01
48	49.51	69.43	9.46	1672.88	0	967.61	-1956.73
49	51.12	49.44	12.74	1713.89	0	962.87	-3655.23
50	34.41	47.45	4.2	1792.35	0	909.46	4044.72
51	-0	-0	-0	2149	0	976.7	-0
52	-0	-0	-0	2149	0	976.7	-0
53	-0	-0	-0	2149	0	976.7	-0
54	-0	-0	-0	2149	0	976.7	-0
55	-0	-0	-0	2149	0	976.7	-0
56	-0	-0	-0	2149	0	976.7	-0
57	-0	-0	-0	2149	0	976.7	-0
58	-0	-0	-0	2149	0	976.7	-0
59	-0	-0	-0	2149	0	976.7	-0
60	-0	-0	-0	2149	0	976.7	-0
61	-0	-0	-0	2149	0	976.7	-0
62	-0	-0	-0	2149	0	976.7	-0
63	-0	-0	-0	2149	0	976.7	-0
64	-0	-0	-0	2149	0	976.7	-0
65	-0	-0	-0	2149	0	976.7	-0
66	-0	-0	-0	2149	0	976.7	-0
67	-0	-0	-0	2149	0	976.7	-0
68	-0	-0	-0	2149	0	976.7	-0
69	-0	-0	-0	2149	0	976.7	-0
70	-0	-0	-0	2149	0	976.7	-0
71	-0	-0	-0	2149	0	976.7	-0
72	-0	-0	-0	2149	0	976.7	-0
73	-0	-0	-0	2149	0	976.7	-0
74	-0	-0	-0	2149	0	976.7	-0
75	-0	-0	-0	2149	0	976.7	-0
76	-0	-0	-0	2149	0	976.7	-0
77	-0	-0	-0	2149	0	976.7	-0
78	-0	-0	-0	2149	0	976.7	-0
79	-0	-0	-0	2149	0	976.7	-0
80	-0	-0	-0	2149	0	976.7	-0
81	-0	-0	-0	2149	0	976.7	-0
82	-0	-0	-0	2149	0	976.7	-0
83	-0	-0	-0	2149	0	976.7	-0
84	-0	-0	-0	2149	0	976.7	-0
85	-0	-0	-0	2149	0	976.7	-0
86	-0	-0	-0	2149	0	976.7	-0
87	-0	-0	-0	2149	0	976.7	-0
88	-0	-0	-0	2149	0	976.7	-0
89	-0	-0	-0	2149	0	976.7	-0
90	-0	-0	-0	2149	0	976.7	-0
91	-25.63	61.19	1.68	2122.52	0	1077.63	-1130.9
92	-86.67	56.15	-15.11	2062.8	0	1022.46	-2830.34
93	-67.29	137.02	-18.62	2238.52	0	1041.8	1274.01
94	-117.57	154.42	-11.67	2092.92	0	1114.73	6442.9
95	-71.56	285.34	-25.86	2269.41	0	1062.02	-9487.53
96	-47.84	502.32	-24.57	2241.98	0	1091.34	-2464.52
97	-85.37	654.6	-57.37	2273.99	0	1082.62	2902.77
98	-145.11	858.15	-62.48	2226.98	0	1082.54	40720
99	-219.8	947.57	-187.53	2205.52	0	1072.28	-40320.3
100	-176.93	1092.38	-114.75	2236.09	0	1074.56	-16093
101	-60.2	1120.61	-89.49	2199.07	0	1072.37	28380.2
102	-49.74	1361.24	-18.31	2216.5	0	1059.75	822.76
103	-181.5	1377.26	59.66	2206.3	0	1076.03	45212.4
104	-186	1503.91	31.51	2171.9	0	1062.75	6422.22
105	-154.27	1549.68	98.27	2209.7	0	1068.49	-22039.1
106	-208.89	1545.72	68.13	2167.41	0	1065.56	75985.6
107	-201.87	1622.31	51.8	2180.47	0	1066.41	8972.87
108	-218.28	1622.47	46.54	2187.6	0	1070.58	-4488.51
109	-241.7	1664.73	44.48	2149.85	0	1068.45	30523.8
110	-190.89	1700.29	-25.18	2170.16	0	1069.23	7957.97
111	-230.41	1749.88	-3.13	2159.76	0	1075.89	21794.3
112	-207.37	1832.89	-29.37	2143.14	0	1070.5	913.37
