Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0	833.383	928.571	1350.61	816.883	920.374	1082.59	672.19	955.797	1275.29	663.464	953.599	1177.26	778.397	1006.43	1372.24	760.605	993.086	1059.06	729.411	684.284	1425.41	732.547	574.509	1424.29	673.81	685.719	1383.35	672.838	575.66	1380.97	688.257	243.193	1430.89	696.983	160.407	1412.58	653.642	245.053	1389.64	664.059	166.725	1373.84	649.278	82.9441	1369.65	640.067	37.775	1369.68	672.719	55.3618	1410.85	703.72	697.678	1028.6	706.738	587.591	1026.55	656.605	697.518	1078.24	654.519	586.985	1075.38	672.22	237.845	1027.26	695.99	161.191	1035.37	641.524	234.12	1071.64	660.234	155.733	1077.57	649.647	82.1623	1086.54	637.274	33.5233	1084.02	669.482	55.5721	1041.01	764.365	842.189	1402.15	726.751	488.785	1408.98	722.035	471.311	1289.28	727.123	428.019	1417.76	780.016	407.704	1366.61	709.125	97.1612	1405.15	732.955	111.349	1328.4	852.991	51.5392	1316.72	826.226	47.5377	1432.6	860.429	67.5364	1366.85	747.637	834.977	1042.76	715.075	475.344	1045.45	705.861	463.268	1166.49	702.315	418.166	1035.98	761.427	397.196	1086.91	711.587	96.3011	1046.56	728.474	100.873	1125.46	853.41	52.5438	1128.12	821.809	48.3905	1017.51	861.024	64.9289	1082.51
0.007	833.357	928.608	1350.71	816.858	920.379	1082.66	672.166	955.781	1275.35	663.433	953.58	1177.33	778.381	1006.43	1372.28	760.604	993.088	1059.12	729.405	684.282	1425.45	732.537	574.501	1424.32	673.787	685.72	1383.4	672.832	575.656	1381.01	688.254	243.181	1430.91	696.983	160.399	1412.59	653.631	245.044	1389.66	664.053	166.718	1373.85	649.281	82.9417	1369.65	640.073	37.7652	1369.69	672.717	55.3526	1410.85	703.712	697.662	1028.65	706.734	587.587	1026.59	656.597	697.507	1078.29	654.51	586.973	1075.42	672.212	237.845	1027.28	695.993	161.193	1035.39	641.522	234.109	1071.66	660.235	155.728	1077.57	649.644	82.1647	1086.53	637.276	33.5183	1084.03	669.472	55.5686	1041.02	764.355	842.184	1402.19	726.738	488.778	1409.01	722.021	471.307	1289.3	727.111	428.001	1417.77	779.998	407.705	1366.64	709.106	97.1618	1405.15	732.952	111.345	1328.4	852.982	51.5422	1316.72	826.23	47.537	1432.6	860.429	67.5429	1366.85	747.611	834.963	1042.8	715.071	475.345	1045.48	705.859	463.254	1166.52	702.315	418.171	1036.02	761.418	397.199	1086.93	711.581	96.3007	1046.56	728.472	100.884	1125.47	853.402	52.559	1128.14	821.806	48.3984	1017.51	861.025	64.8916	1082.5
0.013	833.342	928.58	1350.71	816.817	920.382	1082.71	672.151	955.767	1275.41	663.409	953.568	1177.4	778.366	1006.44	1372.34	760.577	993.091	1059.18	729.395	684.276	1425.5	732.528	574.495	1424.35	673.765	685.714	1383.44	672.815	575.655	1381.05	688.25	243.154	1430.92	696.977	160.389	1412.6	653.624	245.041	1389.68	664.051	166.706	1373.85	649.273	82.9369	1369.65	640.076	37.7635	1369.68	672.71	55.3578	1410.85	703.704	697.656	1028.7	706.73	587.577	1026.63	656.589	697.491	1078.34	654.508	586.967	1075.45	672.209	237.851	1027.3	695.987	161.192	1035.39	641.519	234.102	1071.68	660.24	155.721	1077.58	649.648	82.1527	1086.54	637.271	33.5133	1084.02	669.48	55.5645	1041.02	764.334	842.182	1402.23	726.726	488.775	1409.05	722.015	471.306	1289.34	727.096	428	1417.81	779.994	407.702	1366.66	709.122	97.1679	1405.17	732.946	111.341	1328.39	852.989	51.5347	1316.73	826.229	47.5361	1432.6	860.428	67.5346	1366.85	747.574	834.955	1042.85	715.067	475.346	1045.52	705.863	463.252	1166.57	702.314	418.173	1036.04	761.419	397.186	1086.96	711.598	96.2963	1046.56	728.468	100.872	1125.47	853.395	52.5497	1128.13	821.804	48.3933	1017.51	861.015	64.8841	1082.5
0.02	833.307	928.608	1350.81	816.792	920.382	1082.77	672.122	955.752	1275.48	663.376	953.559	1177.47	778.358	1006.44	1372.36	760.55	993.101	1059.23	729.381	684.277	1425.55	732.515	574.492	1424.4	673.742	685.711	1383.49	672.79	575.665	1381.09	688.234	243.165	1430.94	696.978	160.382	1412.61	653.612	245.036	1389.69	664.045	166.707	1373.86	649.269	82.9362	1369.65	640.061	37.7702	1369.69	672.716	55.354	1410.85	703.702	697.651	1028.75	706.724	587.58	1026.67	656.574	697.492	1078.38	654.503	586.953	1075.5	672.202	237.857	1027.32	695.982	161.197	1035.4	641.513	234.097	1071.71	660.238	155.733	1077.61	649.65	82.1574	1086.54	637.283	33.5134	1084.03	669.48	55.5641	1041.01	764.31	842.183	1402.28	726.712	488.772	1409.08	721.979	471.316	1289.36	727.085	428	1417.84	779.972	407.71	1366.68	709.12	97.1549	1405.17	732.939	111.338	1328.4	852.989	51.5399	1316.73	826.233	47.5343	1432.6	860.431	67.5442	1366.85	747.539	834.957	1042.9	715.064	475.338	1045.54	705.861	463.248	1166.6	702.307	418.174	1036.08	761.409	397.196	1086.99	711.595	96.2975	1046.55	728.463	100.876	1125.48	853.4	52.5612	1128.12	821.805	48.3959	1017.51	861.022	64.901	1082.49
0.027	833.294	928.619	1350.85	816.763	920.381	1082.84	672.096	955.745	1275.54	663.351	953.542	1177.52	778.342	1006.45	1372.43	760.539	993.104	1059.29	729.37	684.278	1425.6	732.513	574.485	1424.44	673.721	685.704	1383.55	672.777	575.66	1381.12	688.223	243.157	1430.95	696.968	160.376	1412.62	653.608	245.025	1389.71	664.033	166.694	1373.88	649.277	82.935	1369.65	640.071	37.7597	1369.69	672.708	55.348	1410.86	703.683	697.648	1028.8	706.711	587.571	1026.71	656.562	697.487	1078.43	654.494	586.958	1075.55	672.189	237.862	1027.34	695.97	161.201	1035.4	641.515	234.098	1071.73	660.239	155.724	1077.61	649.656	82.1576	1086.54	637.28	33.5107	1084.02	669.482	55.5603	1041.02	764.312	842.167	1402.15	726.688	488.767	1409.11	721.98	471.313	1289.4	727.072	427.993	1417.87	779.959	407.702	1366.71	709.117	97.1562	1405.16	732.952	111.347	1328.4	852.986	51.5464	1316.73	826.225	47.535	1432.6	860.423	67.5405	1366.86	747.522	834.947	1042.97	715.052	475.34	1045.58	705.834	463.308	1166.83	702.307	418.178	1036.11	761.406	397.197	1087.03	711.591	96.2906	1046.56	728.461	100.884	1125.49	853.398	52.554	1128.13	821.799	48.3888	1017.52	861.01	64.898	1082.5
0.033	833.266	928.618	1350.89	816.731	920.382	1082.91	672.068	955.735	1275.6	663.307	953.538	1177.58	778.333	1006.45	1372.47	760.513	993.103	1059.36	729.362	684.268	1425.65	732.5	574.478	1424.48	673.702	685.703	1383.6	672.759	575.658	1381.17	688.208	243.154	1430.97	696.967	160.365	1412.63	653.595	245.015	1389.73	664.031	166.684	1373.89	649.268	82.9389	1369.66	640.067	37.7663	1369.7	672.713	55.3513	1410.85	703.666	697.655	1028.85	706.696	587.562	1026.76	656.547	697.474	1078.48	654.479	586.948	1075.59	672.176	237.864	1027.36	695.971	161.199	1035.41	641.509	234.088	1071.77	660.243	155.722	1077.63	649.649	82.1546	1086.55	637.278	33.5114	1084.02	669.485	55.5634	1041.02	764.297	842.165	1402.2	726.666	488.765	1409.15	721.953	471.324	1289.43	727.056	427.991	1417.9	779.943	407.697	1366.75	709.092	97.161	1405.17	732.942	111.341	1328.41	852.977	51.5389	1316.73	826.228	47.5388	1432.61	860.425	67.5414	1366.85	747.484	834.938	1043.02	715.05	475.34	1045.62	705.885	463.223	1166.68	702.299	418.176	1036.15	761.4	397.19	1087.06	711.587	96.295	1046.56	728.452	100.887	1125.49	853.385	52.5585	1128.12	821.795	48.392	1017.52	861.006	64.9084	1082.49
0.04	833.244	928.62	1350.94	816.709	920.375	1082.97	672.039	955.729	1275.66	663.274	953.522	1177.65	778.308	1006.45	1372.52	760.49	993.099	1059.41	729.347	684.269	1425.7	732.49	574.486	1424.53	673.685	685.705	1383.66	672.741	575.656	1381.22	688.209	243.139	1430.98	696.966	160.359	1412.63	653.585	245.004	1389.74	664.028	166.686	1373.9	649.266	82.9322	1369.65	640.061	37.7549	1369.7	672.719	55.3417	1410.85	703.652	697.65	1028.91	706.684	587.568	1026.8	656.532	697.46	1078.54	654.469	586.942	1075.64	672.165	237.869	1027.37	695.964	161.209	1035.42	641.512	234.088	1071.79	660.24	155.72	1077.64	649.657	82.1514	1086.54	637.286	33.5117	1084.02	669.49	55.559	1041.02	764.268	842.156	1402.26	726.658	488.768	1409.19	721.94	471.328	1289.45	727.034	427.991	1417.93	779.936	407.698	1366.78	709.108	97.1617	1405.18	732.947	111.348	1328.41	852.975	51.5359	1316.72	826.218	47.5272	1432.61	860.422	67.5432	1366.86	747.452	834.934	1043.07	715.038	475.338	1045.66	705.89	463.218	1166.71	702.292	418.182	1036.18	761.386	397.196	1087.08	711.581	96.2863	1046.57	728.451	100.878	1125.49	853.389	52.5543	1128.11	821.806	48.401	1017.52	861.007	64.8977	1082.49
0.047	833.209	928.631	1350.99	816.664	920.365	1083.04	672.002	955.728	1275.73	663.246	953.515	1177.73	778.285	1006.44	1372.58	760.45	993.098	1059.47	729.337	684.266	1425.75	732.48	574.478	1424.57	673.66	685.706	1383.71	672.721	575.657	1381.26	688.198	243.133	1431	696.965	160.346	1412.66	653.579	245.007	1389.77	664.034	166.676	1373.91	649.262	82.9355	1369.66	640.065	37.7534	1369.71	672.714	55.3382	1410.85	703.638	697.642	1028.97	706.669	587.559	1026.84	656.51	697.453	1078.59	654.45	586.934	1075.69	672.157	237.864	1027.39	695.954	161.209	1035.42	641.504	234.083	1071.83	660.239	155.716	1077.66	649.652	82.1575	1086.56	637.275	33.5117	1084.02	669.473	55.5622	1041	764.251	842.163	1402.32	726.632	488.765	1409.23	721.907	471.337	1289.49	727.021	427.978	1417.95	779.919	407.695	1366.82	709.109	97.1505	1405.19	732.949	111.354	1328.42	852.984	51.5393	1316.74	826.233	47.5351	1432.61	860.427	67.542	1366.86	747.415	834.923	1043.14	715.021	475.328	1045.71	705.882	463.216	1166.75	702.283	418.183	1036.22	761.37	397.185	1087.12	711.581	96.3078	1046.56	728.455	100.887	1125.5	853.375	52.5452	1128.11	821.803	48.3981	1017.51	861.018	64.9084	1082.49
0.053	833.181	928.633	1351.03	816.632	920.362	1083.1	671.958	955.711	1275.78	663.193	953.514	1177.78	778.258	1006.44	1372.62	760.404	993.107	1059.52	729.314	684.264	1425.81	732.468	574.474	1424.62	673.635	685.703	1383.76	672.705	575.655	1381.3	688.193	243.12	1431.01	696.957	160.336	1412.66	653.573	244.986	1389.78	664.019	166.671	1373.92	649.265	82.9274	1369.66	640.063	37.7513	1369.7	672.725	55.3383	1410.85	703.617	697.635	1029.02	706.644	587.554	1026.88	656.485	697.45	1078.65	654.437	586.925	1075.75	672.144	237.872	1027.41	695.943	161.208	1035.43	641.489	234.082	1071.84	660.236	155.712	1077.68	649.652	82.1504	1086.55	637.275	33.5104	1084.02	669.473	55.5575	1041.02	764.221	842.162	1402.39	726.623	488.755	1409.27	721.897	471.325	1289.52	727.012	428.077	1418.1	779.909	407.697	1366.85	709.102	97.1408	1405.19	732.936	111.344	1328.43	852.981	51.5435	1316.74	826.226	47.5318	1432.61	860.425	67.543	1366.86	747.379	834.919	1043.19	715.021	475.335	1045.76	705.87	463.21	1166.79	702.253	418.184	1036.25	761.361	397.196	1087.15	711.576	96.2975	1046.56	728.457	100.882	1125.51	853.364	52.5513	1128.12	821.802	48.3975	1017.52	861.003	64.909	1082.5
0.06	833.15	928.645	1351.07	816.588	920.373	1083.15	671.92	955.698	1275.84	663.152	953.508	1177.83	778.228	1006.46	1372.67	760.363	993.11	1059.58	729.301	684.258	1425.85	732.456	574.469	1424.65	673.614	685.694	1383.81	672.694	575.652	1381.34	688.196	243.092	1431.03	696.952	160.329	1412.67	653.571	244.985	1389.81	664.021	166.67	1373.93	649.269	82.9244	1369.67	640.06	37.7494	1369.7	672.712	55.337	1410.86	703.583	697.632	1029.08	706.617	587.549	1026.93	656.456	697.44	1078.7	654.413	586.917	1075.81	672.122	237.885	1027.43	695.923	161.213	1035.43	641.484	234.077	1071.86	660.233	155.703	1077.69	649.652	82.1468	1086.55	637.272	33.5083	1084.02	669.468	55.5548	1041.02	764.178	842.167	1402.62	726.607	488.746	1409.3	721.883	471.328	1289.55	726.998	427.962	1418.02	779.898	407.695	1366.87	709.081	97.1513	1405.19	732.933	111.339	1328.42	852.979	51.5456	1316.73	826.216	47.5197	1432.61	860.426	67.5454	1366.86	747.323	834.915	1043.24	714.991	475.327	1045.81	705.869	463.2	1166.83	702.238	418.189	1036.29	761.339	397.192	1087.17	711.576	96.293	1046.57	728.452	100.878	1125.51	853.367	52.5532	1128.13	821.803	48.4045	1017.52	860.999	64.9136	1082.49
