Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.GTRX	R.GTRY	R.GTRZ	R.KneeX	R.KneeY	R.KneeZ	R.Knee.MedialX	R.Knee.MedialY	R.Knee.MedialZ	R.HFX	R.HFY	R.HFZ	R.TTX	R.TTY	R.TTZ	R.AnkleX	R.AnkleY	R.AnkleZ	R.Ankle.MedialX	R.Ankle.MedialY	R.Ankle.MedialZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	R.MT2X	R.MT2Y	R.MT2Z	L.GTRX	L.GTRY	L.GTRZ	L.KneeX	L.KneeY	L.KneeZ	L.Knee.MedialX	L.Knee.MedialY	L.Knee.MedialZ	L.HFX	L.HFY	L.HFZ	L.TTX	L.TTY	L.TTZ	L.AnkleX	L.AnkleY	L.AnkleZ	L.Ankle.MedialX	L.Ankle.MedialY	L.Ankle.MedialZ	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z	L.MT2X	L.MT2Y	L.MT2Z
0	864.389	1033.08	1342.12	880.944	1029.02	1087.2	699.847	1046.87	1254.02	706.899	1043.41	1152.27	798.638	1081.93	1368.51	809.901	1089.78	1049.92	755.076	764.769	1408.76	759.615	655.233	1407.6	706.701	766.048	1359.5	707.35	655.458	1355.14	705.388	266.553	1425.29	701.327	182.275	1414.09	671.311	270.165	1383.87	669.387	190.739	1374.97	650.797	93.7006	1373.7	640.04	43.8363	1374.72	666.699	64.2703	1414.72	772.559	756.685	1021.79	778.588	646.512	1026.45	718.504	757.837	1064.64	717.581	647.286	1066.65	704.868	269.025	1026.34	707.444	189.008	1035.28	672.493	273.627	1069.6	672.611	193.093	1077.93	649.658	91.3007	1085.6	639.006	42.6371	1083.9	663.383	57.2955	1044.92	803.735	924.537	1396.96	760.116	539.063	1402.46	764.163	523.308	1280.26	750.576	476.715	1408.73	812.013	460.403	1371.53	714.227	107.84	1416.34	736.473	126.069	1334.03	861.835	57.8019	1327.25	841.924	49.2357	1444.4	870.49	71.4899	1372.98	822.326	919.95	1032.86	756.609	537.724	1040.6	761.688	517.824	1161.81	751.448	471.303	1035.4	813.519	456.062	1080.71	713.994	107.444	1037.26	735.517	120.815	1120.52	864.825	54.4474	1124.97	836.242	49.4111	1009.18	876.589	66.3079	1077.38
0.007	864.395	1033.08	1342.15	880.992	1029.08	1087.4	699.86	1046.88	1254.06	706.898	1043.41	1152.31	798.655	1081.93	1368.54	809.889	1089.78	1049.94	755.093	764.765	1408.8	759.62	655.225	1407.62	706.705	766.039	1359.54	707.348	655.449	1355.17	705.386	266.541	1425.29	701.328	182.272	1414.1	671.322	270.159	1383.88	669.392	190.733	1374.97	650.796	93.6958	1373.71	640.036	43.836	1374.72	666.7	64.257	1414.73	772.546	756.68	1021.82	778.571	646.504	1026.47	718.487	757.838	1064.67	717.569	647.292	1066.67	704.867	269.024	1026.35	707.436	189.007	1035.28	672.491	273.623	1069.61	672.605	193.089	1077.94	649.66	91.3087	1085.6	639.013	42.6307	1083.91	663.396	57.2895	1044.91	803.745	924.533	1396.98	760.116	539.05	1402.48	764.152	523.308	1280.27	750.578	476.713	1408.74	812.013	460.404	1371.55	714.234	107.83	1416.32	736.458	126.073	1334.03	861.83	57.8017	1327.25	841.928	49.2364	1444.4	870.49	71.4867	1372.98	822.306	919.946	1032.89	756.585	537.721	1040.61	761.735	517.866	1162.04	751.44	471.307	1035.4	813.513	456.068	1080.73	713.99	107.442	1037.26	735.517	120.801	1120.52	864.823	54.4477	1124.97	836.247	49.4098	1009.18	876.589	66.3057	1077.38
0.013	864.401	1033.08	1342.17	880.957	1029.04	1087.32	699.861	1046.89	1254.09	706.893	1043.41	1152.34	798.665	1081.93	1368.56	809.88	1089.76	1049.96	755.105	764.773	1408.83	759.629	655.229	1407.64	706.705	766.053	1359.58	707.355	655.458	1355.2	705.383	266.542	1425.3	701.326	182.269	1414.1	671.313	270.163	1383.88	669.387	190.73	1374.98	650.801	93.6908	1373.71	640.039	43.8315	1374.73	666.701	64.26	1414.73	772.537	756.682	1021.84	778.565	646.509	1026.48	718.476	757.837	1064.7	717.554	647.286	1066.69	704.856	269.028	1026.35	707.432	189.017	1035.28	672.484	273.621	1069.62	672.6	193.087	1077.95	649.663	91.3054	1085.59	639.014	42.6297	1083.91	663.389	57.295	1044.9	803.753	924.535	1397.01	760.117	539.047	1402.5	764.149	523.308	1280.29	750.569	476.713	1408.76	812.011	460.399	1371.56	714.236	107.832	1416.34	736.477	126.072	1334.03	861.826	57.8099	1327.25	841.924	49.2332	1444.4	870.492	71.4796	1372.98	822.296	919.954	1032.91	756.575	537.727	1040.63	761.716	517.857	1162.06	751.421	471.315	1035.42	813.498	456.07	1080.73	713.982	107.448	1037.26	735.516	120.803	1120.51	864.823	54.4544	1124.96	836.243	49.409	1009.17	876.578	66.3026	1077.37
0.02	864.419	1033.08	1342.2	880.956	1029.02	1087.35	699.873	1046.89	1254.13	706.897	1043.42	1152.38	798.669	1081.92	1368.61	809.879	1089.75	1049.99	755.12	764.763	1408.86	759.639	655.221	1407.69	706.705	766.05	1359.61	707.358	655.456	1355.23	705.389	266.533	1425.31	701.324	182.269	1414.11	671.313	270.166	1383.89	669.398	190.731	1374.99	650.8	93.7002	1373.7	640.043	43.8336	1374.73	666.702	64.2648	1414.72	772.535	756.678	1021.86	778.559	646.508	1026.5	718.468	757.826	1064.73	717.544	647.283	1066.7	704.849	269.036	1026.35	707.432	189.01	1035.29	672.478	273.621	1069.62	672.606	193.085	1077.93	649.664	91.309	1085.59	639.011	42.6341	1083.91	663.393	57.29	1044.91	803.759	924.538	1397.04	760.125	539.047	1402.51	764.141	523.316	1280.3	750.572	476.703	1408.78	812.006	460.401	1371.58	714.224	107.831	1416.33	736.474	126.078	1334.03	861.823	57.8048	1327.25	841.924	49.2302	1444.4	870.49	71.4885	1372.99	822.289	919.943	1032.93	756.563	537.733	1040.65	761.635	517.808	1161.85	751.41	471.314	1035.43	813.497	456.071	1080.74	713.993	107.449	1037.27	735.514	120.805	1120.52	864.816	54.4493	1124.97	836.247	49.4055	1009.17	876.592	66.3021	1077.38
0.027	864.422	1033.07	1342.24	880.955	1029.02	1087.37	699.888	1046.9	1254.16	706.895	1043.42	1152.4	798.667	1081.91	1368.64	809.886	1089.73	1050.01	755.132	764.759	1408.88	759.65	655.219	1407.7	706.712	766.048	1359.65	707.36	655.457	1355.25	705.394	266.531	1425.31	701.327	182.265	1414.11	671.312	270.172	1383.9	669.398	190.738	1374.98	650.804	93.6964	1373.71	640.045	43.8317	1374.72	666.703	64.2617	1414.72	772.527	756.681	1021.89	778.555	646.509	1026.52	718.47	757.831	1064.75	717.539	647.289	1066.71	704.847	269.035	1026.36	707.436	189.019	1035.3	672.479	273.625	1069.62	672.604	193.088	1077.94	649.672	91.3081	1085.59	639.02	42.6319	1083.91	663.394	57.297	1044.91	803.778	924.531	1397.06	760.122	539.048	1402.53	764.138	523.326	1280.33	750.566	476.709	1408.8	812.013	460.399	1371.59	714.23	107.835	1416.34	736.482	126.074	1334.03	861.832	57.8076	1327.25	841.929	49.2287	1444.39	870.49	71.4858	1372.98	822.295	919.941	1032.96	756.549	537.732	1040.66	761.719	517.853	1162.08	751.39	471.321	1035.45	813.493	456.077	1080.76	713.99	107.451	1037.26	735.523	120.802	1120.52	864.828	54.4583	1124.97	836.252	49.4044	1009.17	876.588	66.3052	1077.38
0.033	864.434	1033.07	1342.26	880.96	1029.02	1087.39	699.894	1046.92	1254.19	706.902	1043.43	1152.43	798.665	1081.92	1368.66	809.874	1089.72	1050.03	755.142	764.761	1408.91	759.648	655.224	1407.72	706.717	766.046	1359.67	707.368	655.462	1355.27	705.395	266.529	1425.32	701.337	182.275	1414.12	671.323	270.168	1383.91	669.396	190.745	1374.99	650.804	93.7076	1373.71	640.044	43.8378	1374.72	666.712	64.2659	1414.72	772.526	756.682	1021.91	778.561	646.507	1026.54	718.469	757.831	1064.77	717.534	647.29	1066.73	704.853	269.04	1026.37	707.436	189.021	1035.29	672.474	273.628	1069.63	672.598	193.089	1077.95	649.669	91.3191	1085.59	639.02	42.6381	1083.9	663.397	57.3033	1044.91	803.78	924.53	1397.08	760.121	539.052	1402.55	764.143	523.322	1280.35	750.585	476.71	1408.8	812.01	460.395	1371.6	714.232	107.832	1416.33	736.475	126.072	1334.03	861.836	57.8022	1327.25	841.925	49.2375	1444.39	870.495	71.4832	1372.98	822.28	919.946	1032.97	756.539	537.736	1040.68	761.63	517.816	1161.88	751.389	471.323	1035.47	813.485	456.072	1080.78	713.994	107.453	1037.26	735.527	120.811	1120.52	864.845	54.4542	1124.96	836.247	49.4069	1009.17	876.593	66.3049	1077.37
0.04	864.44	1033.07	1342.3	880.967	1029.01	1087.42	699.896	1046.92	1254.21	706.902	1043.44	1152.46	798.649	1081.91	1368.69	809.886	1089.7	1050.05	755.148	764.756	1408.93	759.669	655.219	1407.74	706.728	766.045	1359.69	707.378	655.463	1355.3	705.403	266.527	1425.33	701.345	182.267	1414.12	671.326	270.169	1383.91	669.406	190.744	1375	650.808	93.7059	1373.71	640.046	43.84	1374.73	666.713	64.2763	1414.72	772.533	756.681	1021.93	778.561	646.514	1026.56	718.473	757.825	1064.8	717.535	647.286	1066.74	704.85	269.044	1026.37	707.443	189.03	1035.3	672.479	273.636	1069.63	672.604	193.098	1077.95	649.673	91.3225	1085.58	639.018	42.6502	1083.9	663.401	57.3065	1044.91	803.792	924.528	1397.1	760.142	539.053	1402.55	764.137	523.332	1280.36	750.58	476.707	1408.83	812.021	460.4	1371.62	714.232	107.83	1416.34	736.483	126.075	1334.03	861.827	57.8058	1327.24	841.935	49.2454	1444.39	870.484	71.4813	1372.98	822.283	919.94	1033	756.542	537.738	1040.7	761.623	517.812	1161.89	751.375	471.325	1035.48	813.479	456.083	1080.78	714.003	107.458	1037.26	735.516	120.823	1120.53	864.831	54.4521	1124.97	836.255	49.4073	1009.16	876.603	66.3042	1077.37
0.047	864.445	1033.07	1342.34	880.954	1028.99	1087.38	699.913	1046.93	1254.23	706.908	1043.44	1152.48	798.649	1081.91	1368.72	809.878	1089.7	1050.07	755.157	764.751	1408.96	759.678	655.222	1407.76	706.734	766.043	1359.72	707.386	655.456	1355.32	705.409	266.533	1425.34	701.345	182.272	1414.13	671.341	270.171	1383.92	669.408	190.747	1375	650.814	93.7152	1373.71	640.054	43.8348	1374.72	666.708	64.2725	1414.72	772.511	756.679	1021.71	778.56	646.514	1026.57	718.472	757.825	1064.83	717.547	647.29	1066.76	704.842	269.049	1026.38	707.437	189.034	1035.31	672.478	273.638	1069.64	672.601	193.102	1077.95	649.669	91.3219	1085.6	639.017	42.6498	1083.9	663.404	57.3008	1044.91	803.794	924.521	1397.12	760.151	539.044	1402.58	764.138	523.335	1280.37	750.604	476.701	1408.84	812.025	460.392	1371.63	714.244	107.841	1416.34	736.478	126.076	1334.03	861.84	57.8066	1327.24	841.944	49.2343	1444.39	870.493	71.4813	1372.98	822.279	919.941	1033.01	756.531	537.748	1040.71	761.61	517.825	1161.91	751.37	471.344	1035.49	813.473	456.077	1080.8	714.007	107.463	1037.27	735.525	120.816	1120.53	864.852	54.4519	1124.97	836.257	49.4085	1009.17	876.602	66.305	1077.37
0.053	864.446	1033.07	1342.36	880.979	1029.01	1087.47	699.918	1046.93	1254.25	706.909	1043.44	1152.5	798.628	1081.9	1368.73	809.885	1089.69	1050.09	755.165	764.75	1408.97	759.681	655.225	1407.79	706.737	766.035	1359.74	707.396	655.454	1355.33	705.41	266.533	1425.35	701.349	182.265	1414.13	671.336	270.173	1383.93	669.419	190.748	1375	650.813	93.7155	1373.71	640.05	43.8461	1374.73	666.713	64.2719	1414.72	772.518	756.674	1021.73	778.557	646.521	1026.59	718.48	757.82	1064.87	717.544	647.294	1066.77	704.844	269.059	1026.39	707.433	189.041	1035.31	672.477	273.641	1069.66	672.598	193.105	1077.96	649.676	91.3251	1085.59	639.012	42.6551	1083.9	663.404	57.2984	1044.91	803.784	924.528	1397.13	760.156	539.051	1402.59	764.151	523.339	1280.39	750.611	476.702	1408.86	812.026	460.391	1371.63	714.252	107.84	1416.34	736.483	126.081	1334.03	861.838	57.8006	1327.24	841.942	49.242	1444.4	870.501	71.4854	1372.98	822.286	919.947	1033.03	756.522	537.76	1040.72	761.596	517.822	1161.92	751.36	471.358	1035.51	813.472	456.083	1080.81	714.007	107.463	1037.27	735.526	120.823	1120.53	864.847	54.4636	1124.98	836.251	49.4106	1009.16	876.601	66.2879	1077.38
0.06	864.453	1033.07	1342.39	880.987	1029.01	1087.48	699.929	1046.94	1254.28	706.927	1043.44	1152.52	798.621	1081.88	1368.76	809.906	1089.69	1050.11	755.17	764.745	1409	759.688	655.22	1407.81	706.733	766.043	1359.77	707.399	655.458	1355.35	705.417	266.533	1425.35	701.356	182.27	1414.14	671.351	270.174	1383.93	669.417	190.748	1375	650.81	93.7143	1373.71	640.061	43.8425	1374.72	666.715	64.271	1414.73	772.518	756.683	1021.75	778.553	646.524	1026.61	718.489	757.824	1064.88	717.541	647.297	1066.8	704.838	269.06	1026.4	707.433	189.048	1035.32	672.483	273.642	1069.67	672.599	193.111	1077.97	649.666	91.3281	1085.59	639.017	42.6558	1083.9	663.399	57.3076	1044.91	803.793	924.527	1397.16	760.162	539.046	1402.61	764.145	523.339	1280.4	750.62	476.695	1408.88	812.039	460.392	1371.66	714.251	107.844	1416.34	736.484	126.077	1334.03	861.835	57.8046	1327.24	841.945	49.2368	1444.4	870.499	71.4739	1372.98	822.304	919.951	1033.04	756.524	537.753	1040.75	761.616	517.822	1161.94	751.345	471.354	1035.53	813.475	456.092	1080.82	714.017	107.47	1037.27	735.539	120.811	1120.54	864.852	54.4496	1124.98	836.254	49.4092	1009.17	876.608	66.293	1077.38
