Time	R.ASISX	R.ASISY	R.ASISZ	L.ASISX	L.ASISY	L.ASISZ	R.PSISX	R.PSISY	R.PSISZ	L.PSISX	L.PSISY	L.PSISZ	R.Iliac.CrestX	R.Iliac.CrestY	R.Iliac.CrestZ	L.Iliac.CrestX	L.Iliac.CrestY	L.Iliac.CrestZ	R.Thigh.Top.LateralX	R.Thigh.Top.LateralY	R.Thigh.Top.LateralZ	R.Thigh.Bottom.LateralX	R.Thigh.Bottom.LateralY	R.Thigh.Bottom.LateralZ	R.Thigh.Top.MedialX	R.Thigh.Top.MedialY	R.Thigh.Top.MedialZ	R.Thigh.Bottom.MedialX	R.Thigh.Bottom.MedialY	R.Thigh.Bottom.MedialZ	R.Shank.Top.LateralX	R.Shank.Top.LateralY	R.Shank.Top.LateralZ	R.Shank.Bottom.LateralX	R.Shank.Bottom.LateralY	R.Shank.Bottom.LateralZ	R.Shank.Top.MedialX	R.Shank.Top.MedialY	R.Shank.Top.MedialZ	R.Shank.Bottom.MedialX	R.Shank.Bottom.MedialY	R.Shank.Bottom.MedialZ	R.Heel.TopX	R.Heel.TopY	R.Heel.TopZ	R.Heel.BottomX	R.Heel.BottomY	R.Heel.BottomZ	R.Heel.LateralX	R.Heel.LateralY	R.Heel.LateralZ	L.Thigh.Top.LateralX	L.Thigh.Top.LateralY	L.Thigh.Top.LateralZ	L.Thigh.Bottom.LateralX	L.Thigh.Bottom.LateralY	L.Thigh.Bottom.LateralZ	L.Thigh.Top.MedialX	L.Thigh.Top.MedialY	L.Thigh.Top.MedialZ	L.Thigh.Bottom.MedialX	L.Thigh.Bottom.MedialY	L.Thigh.Bottom.MedialZ	L.Shank.Top.LateralX	L.Shank.Top.LateralY	L.Shank.Top.LateralZ	L.Shank.Bottom.LateralX	L.Shank.Bottom.LateralY	L.Shank.Bottom.LateralZ	L.Shank.Top.MedialX	L.Shank.Top.MedialY	L.Shank.Top.MedialZ	L.Shank.Bottom.MedialX	L.Shank.Bottom.MedialY	L.Shank.Bottom.MedialZ	L.Heel.TopX	L.Heel.TopY	L.Heel.TopZ	L.Heel.BottomX	L.Heel.BottomY	L.Heel.BottomZ	L.Heel.LateralX	L.Heel.LateralY	L.Heel.LateralZ	R.MT1X	R.MT1Y	R.MT1Z	R.MT5X	R.MT5Y	R.MT5Z	L.MT1X	L.MT1Y	L.MT1Z	L.MT5X	L.MT5Y	L.MT5Z
0	2312.78	980.015	1118.51	2302.83	1010.35	890.106	2153.88	1031.89	1059.67	2145.97	1038.05	961.362	2272.75	1038.95	1148.28	2240.37	1052.51	854.838	2183.49	710.124	1168.34	2193.04	600.072	1159.92	2136.78	710.11	1118.16	2143.81	600.724	1108.24	1958.22	442.678	1136.18	1877.16	424.179	1120.68	1953.17	481.721	1100.56	1876.52	460.819	1085.01	1772.93	465.533	1041.6	1731.22	473.605	1034.65	1741.97	456.514	1084.51	2271.15	765.68	816.503	2320.87	667.825	827.62	2218.6	743.625	855.327	2262.92	643.323	864.342	2361.87	234.828	875.588	2368.65	157.314	896.918	2321.77	242.142	911.384	2326.09	163.842	931.955	2303.59	72.1378	970.446	2294.82	25.1839	971.509	2315.06	46.5504	926.213	1743.14	259.389	1040.93	1721.45	301.63	1140.2	2515.74	52.9256	983.391	2470.32	40.9049	879.833
0.007	2311.85	975.194	1118.26	2299.41	1005.47	889.816	2151.18	1026.21	1059.64	2142.99	1033.44	961.636	2271.37	1033.24	1149.17	2239.22	1046.47	854.271	2189.56	703.152	1168.33	2202.72	593.571	1160.65	2142.34	701.344	1119.02	2152.86	592.379	1108.79	1972.62	441.259	1136.42	1891.23	424.606	1120.85	1968.47	480.451	1100.81	1891.41	461.402	1085.19	1787.32	467.845	1041.52	1745.77	476.556	1034.54	1756.27	459.457	1084.58	2270.43	764.513	815.771	2320.97	667.06	826.457	2218.01	741.894	854.399	2263	641.701	862.502	2351.42	237.234	877.441	2353.49	159.498	898.849	2311.27	247.145	911.933	2310.42	168.924	932.23	2281.73	73.5656	971.707	2272.34	26.506	972.438	2292.89	48.2067	927.287	1754.86	262.233	1041.36	1733.82	305.063	1140.71	2494.05	52.132	984.566	2448.49	41.3145	880.987
0.013	2310.29	970.857	1118.08	2296.41	1001.83	889.799	2148.1	1020.72	1059.75	2139.45	1028.51	961.955	2269.52	1027.08	1150.16	2237.3	1040.73	853.835	2195.82	697.368	1167.85	2212.81	588.26	1160.76	2147.99	693.513	1119.29	2162.12	584.778	1110.09	1987.65	439.693	1136.78	1906.16	424.332	1121.05	1984.31	479.056	1101.34	1906.94	461.338	1085.75	1801.9	469.466	1042.37	1760.39	478.33	1035.44	1771.04	461.404	1085.43	2271.25	763.259	815.731	2322.81	666.781	826.542	2217.85	739.102	852.47	2264.32	639.953	860.564	2339.4	239.343	877.639	2337.93	161.54	899.058	2299.39	251.026	911.861	2294.78	172.772	932.043	2259.94	74.9717	972.373	2249.86	27.9783	972.739	2270.63	49.9134	927.517	1768.07	264.063	1041.47	1748	306.62	1141.22	2471.81	51.7407	984.129	2426.55	40.9229	881.22
0.02	2307.89	967.12	1118.21	2293.78	999.049	889.461	2144.93	1015.48	1060.08	2135.61	1023.43	962.886	2266.99	1021.11	1150.97	2233.97	1035.59	853.655	2202.36	692.723	1167.06	2222.8	584.341	1160.57	2153.89	686.838	1119.46	2171.36	578.526	1110.99	2004.56	436.988	1136.12	1921.84	423.302	1121.3	2000.17	477.736	1102.29	1922.87	460.92	1086.66	1816.38	470.08	1043.75	1774.79	479.016	1037.53	1786.06	461.657	1087.19	2270.6	761.432	815.11	2323.6	665.944	825.996	2216.58	735.958	850.508	2265.11	637.645	858.744	2326.17	240.261	876.838	2320.75	162.612	898.705	2286.62	253.892	910.936	2277.98	176.186	931.336	2237.73	76.1965	972.093	2227.25	29.0141	972.336	2248.16	51.0656	927.169	1782.57	265.003	1041.14	1763.81	306.262	1141.81	2449.81	51.072	983.23	2403.56	40.9127	880.788
0.027	2305.23	964.337	1118.74	2291.51	996.79	888.629	2141.81	1010.41	1060.81	2132.08	1018.43	964.528	2263.74	1015.91	1151.72	2228.15	1031.82	853.368	2208.97	688.907	1166.51	2233	581.215	1160	2159.83	681.024	1119.69	2181.29	573.203	1111.15	2020.89	434.519	1136.31	1938.09	421.461	1121.58	2016.81	475.932	1103.26	1938.99	460.001	1087.86	1830.94	469.911	1045.89	1789.01	478.437	1040.68	1801.31	460.314	1089.77	2268.39	759.456	814.359	2321.59	663.81	824.207	2214.62	733.583	849.882	2263.29	635.29	857.128	2311.82	240.497	876.066	2302.56	163.172	897.562	2273.15	255.807	910.28	2260.37	178.665	930.187	2214.89	76.7591	971.059	2204.32	29.5105	971.293	2225.34	51.5053	926.254	1798.89	264.114	1040.59	1781.37	303.997	1142.36	2427.03	50.6041	982.46	2381.21	40.5623	880.104
0.033	2302.43	962.372	1119.37	2289.28	995.205	887.34	2138.88	1005.58	1061.81	2128.94	1013.94	966.365	2259.6	1010.75	1152.82	2222.92	1029.02	854.062	2215.74	685.786	1165.81	2243.39	579.004	1159.03	2166.15	675.935	1119.83	2191.29	568.731	1111.72	2037.49	431.983	1136.44	1954.54	419.011	1122.05	2032.97	474.186	1104.32	1955.06	458.345	1089.22	1845.23	468.847	1047.49	1803.01	476.579	1044.61	1816.84	457.437	1093.04	2265.66	756.74	814.519	2317.61	660.487	823.961	2211.51	731.52	849.891	2258.89	632.586	856.803	2296.21	239.839	875.176	2283.41	162.904	896.523	2257.97	256.925	909.001	2241.75	180.186	929.035	2191.95	76.9793	970.176	2181.2	29.8421	970.503	2202.35	51.5339	925.743	1815.76	262.407	1039.62	1800.08	300.116	1142.91	2403.93	50.1875	981.618	2358.03	40.5376	879.601
0.04	2299.91	960.874	1119.79	2287.2	993.722	886.178	2136.23	1001.37	1062.77	2126.43	1010.57	967.883	2254.88	1006.97	1153.52	2218.73	1026.51	854.734	2222.53	683.366	1165.34	2253.96	577.695	1158.36	2172.72	671.542	1120.07	2201.7	565.593	1111.47	2054.28	429.302	1136.32	1971.36	415.945	1122.47	2048.77	472.35	1105.28	1970.71	456.237	1090.75	1859.63	466.244	1050.44	1816.87	473.304	1048.81	1832.31	453.248	1096.35	2261.12	753.356	814.5	2311.54	656.064	824.338	2207.31	729.408	850.723	2252.58	629.612	857.879	2279.31	238.032	874.612	2263.67	161.661	896.092	2241.56	256.546	908.224	2222.37	180.338	928.35	2168.76	77.0781	969.698	2157.87	29.8559	969.981	2179.05	51.5717	924.939	1833.88	259.586	1038.56	1819.77	294.679	1143.22	2380.68	49.8609	981.188	2334.27	40.4469	878.751
0.047	2297.6	960.127	1120.02	2285.47	992.183	885.478	2134.09	998.244	1063.87	2124.68	1008.36	968.94	2249.92	1004.76	1154.36	2215.67	1023.98	855.449	2229.17	681.756	1164.85	2264.55	577.486	1157.69	2179.29	668.021	1120.46	2212.48	563.033	1111.61	2070.07	427.195	1136.45	1987.31	413.126	1123.37	2064.16	470.418	1105.97	1986.43	453.414	1091.83	1872.97	462.796	1053.96	1830.52	468.44	1053.06	1847.48	447.876	1099.84	2256.23	750.111	814.909	2304.4	651.707	825.209	2202.38	727.795	852.192	2245.29	627.086	859.906	2261.65	235.24	874.678	2242.96	159.594	896.132	2224.13	255.372	907.835	2202.31	179.793	928.3	2145.24	77.1441	969.464	2134.34	29.9089	969.766	2155.54	51.5646	925.083	1853.26	255.45	1037.77	1840.54	287.106	1141.66	2357.11	49.5457	980.87	2310.8	40.2836	878.768
0.053	2295.84	959.73	1120.1	2283.93	990.604	884.856	2132.28	996.947	1063.98	2123.66	1007.91	969.245	2245.02	1003.55	1155.15	2213.53	1021.59	856.029	2235.7	681.375	1164.52	2276.04	578.106	1156.38	2186.32	665.179	1120.57	2223.21	561.798	1111.32	2086.23	424.774	1136.3	2003.66	409.381	1123.71	2079.31	468.508	1106.9	2001.72	450.445	1093.02	1886.72	457.11	1058.1	1843.84	462.062	1056.54	1862.26	441.138	1103.03	2249.78	747.591	814.993	2295.94	647.837	825.47	2196.37	726.899	853.348	2236.88	625.053	861.571	2242.64	232.394	875.066	2221.75	157.404	896.588	2205.74	253.622	907.878	2181.43	178.708	928.504	2121.67	77.3117	969.461	2110.67	30.1001	969.745	2131.84	51.8214	924.889	1873.09	250.502	1036.58	1861.32	279.336	1141.55	2333.29	49.2677	980.576	2286.97	40.1893	878.647
0.06	2294.36	959.706	1120.06	2282.63	989.141	884.672	2131.01	997.302	1063.64	2123.32	1008.1	968.679	2241.1	1002.96	1155.39	2212.45	1019.72	856.244	2242.34	681.496	1164.22	2286.34	579.943	1155.55	2192.97	663.431	1120.96	2233.84	561.604	1110.89	2102.31	422.399	1136.1	2019.78	405.302	1124.14	2094.03	466.545	1107.46	2016.69	446.895	1094.15	1900.08	450.908	1061.2	1856.9	454.462	1060.35	1876.99	433.176	1106.23	2244.43	745.581	815.898	2286.97	644.527	825.674	2189.99	726.639	854.174	2227.43	623.742	862.279	2223.16	230.104	875.894	2200.21	155.792	897.537	2186.42	252.36	908.279	2160.22	178.236	928.84	2097.78	77.6521	969.671	2086.92	30.459	969.882	2107.98	52.2873	924.754	1893.69	244.476	1035.32	1882.83	270.411	1140.97	2309.53	49.0927	980.482	2262.94	40.028	878.572
