Time	Fx	Fy	Fz	COPx	COPy	COPz	Ty
1	-55.16	952.61	9.46	2483.31	0	982.17	-13313.6
2	-58.82	1098.79	95.44	2482.47	0	986.6	156.92
3	-124.66	1076.97	73.7	2496.8	0	982.53	-4092.42
4	-139.16	1013.03	46.46	2459.65	0	988.94	47825.1
5	-132.6	1083.37	11.29	2492.01	0	981.53	-5226.28
6	-194.78	1084.14	-26.47	2481.38	0	987.06	-22643.9
7	-197.53	1098.02	-66.3	2466.31	0	983.14	-5068.99
8	-253.3	1128.85	-54.47	2493.21	0	979.56	-12276
9	-274.66	1167.76	19	2471.87	0	985.87	-11817.1
10	-237.96	1212.31	4.73	2462.22	0	977.62	9583.58
11	-280.84	1308.9	31.74	2464.81	0	984.97	16806.8
12	-254.06	1359.41	16.86	2455.67	0	971.2	-9585.83
13	-274.43	1421.2	51.65	2426.18	0	975.49	-9377.69
14	-261.15	1514.28	59.13	2436.09	0	977.28	9901.52
15	-244.37	1558.07	59.89	2428.43	0	970.47	6730.77
16	-239.49	1615.6	85.98	2389.2	0	975.27	5255.41
17	-173.26	1665.04	84.3	2417.89	0	976.83	13715.8
18	-200.27	1690.06	53.18	2381.42	0	970.61	1768.37
19	-157.32	1735.23	79.19	2367.02	0	975.72	8938.39
20	-122.6	1754.61	85.45	2382.38	0	977.3	15140.6
21	-121	1748.81	25.41	2341.34	0	967.43	979.64
22	-103.68	1813.96	66.99	2341.01	0	976.75	7162.8
23	-106.81	1769.71	50.43	2338.14	0	971.19	8271.52
24	-67.06	1839.9	66.6	2323.26	0	972.09	623.73
25	-104.14	1773.07	77.97	2305.33	0	975.47	8666.36
26	-0.38	1789.4	73.93	2317.51	0	970.48	13776.1
27	-25.86	1782.68	77.9	2302.76	0	971.92	2734.74
28	-50.13	1729.43	49.59	2273.16	0	970.98	8300.93
29	38.91	1768.65	56.15	2289.65	0	969.16	3130.7
30	-43.26	1712.8	50.58	2272.05	0	970.94	9643.22
31	18.62	1689.45	43.72	2253.79	0	969.5	5966.86
32	41.28	1674.04	49.51	2261.57	0	968.63	2842.74
33	1.83	1610.87	66.83	2243.69	0	971.42	11722.3
34	91.17	1603.7	65	2234.59	0	968.35	8615.14
35	55.39	1554.41	54.4	2227.09	0	970.58	6393.9
36	86.82	1546.78	52.87	2215.89	0	966.78	11414.5
37	131.15	1499.02	37.92	2197.79	0	967.03	11906
38	120.47	1463.62	34.03	2197.02	0	971.72	7246.68
39	167.31	1427.76	18.77	2184.82	0	966.61	10882.4
40	173.42	1371.46	34.56	2168.83	0	973.17	7351.54
41	192.72	1307.83	12.05	2163.96	0	970.98	10651.2
42	215	1288.3	11.29	2147.77	0	970.57	5792.98
43	214.39	1180.73	9.84	2133.19	0	974.97	8490.35
44	235.75	1156.77	-0.46	2130.25	0	972.32	5415.81
45	228.58	1073.61	-4.58	2109.84	0	973.15	6572.32
46	246.73	1015.32	3.89	2116.85	0	975.79	9562.19
47	239.72	947.57	-8.24	2075.34	0	971.33	3671.11
48	250.09	856.17	-7.71	2087.03	0	974.25	5769.85
49	246.96	803.07	-4.2	2078.39	0	974.17	8910.06
50	235.44	720.37	-18.01	2052.04	0	971.04	5588.76
51	234.76	642.4	-4.04	2057.71	0	980.93	579.92
52	216.9	584.26	-8.16	2047.05	0	975.39	7039.79
53	198.06	478.06	-16.1	1995.97	0	976.97	2293.2
54	201.11	452.12	-3.43	2058.1	0	979.54	516.23
55	165.56	364.69	-10.45	1998.24	0	969.78	5574.72
56	166.17	313.57	-15.34	1986.88	0	974.82	193.58
57	145.72	264.13	-9.23	2038.79	0	970.47	1297.91
58	120.54	223.85	-10.3	2006.36	0	970.23	2139.35
59	113.07	169.07	-23.04	1967.33	0	971.05	-1151.39
60	77.74	142.52	-12.97	1991.23	0	977.78	1060.39
61	77.44	122.38	-8.85	2013.6	0	983.24	-1676.62
62	47.23	83.77	-10.22	2006.45	0	981.41	-1131.73
63	41.5	82.24	-4.35	2025.4	0	944.87	66.13
64	32.42	49.9	8.01	1777.4	0	994.52	-5322.68
65	28.61	44.71	4.65	2230.61	0	965.64	2937.47
66	-0	-0	-0	2149	0	976.7	-0
67	-0	-0	-0	2149	0	976.7	-0
68	-0	-0	-0	2149	0	976.7	-0
69	-0	-0	-0	2149	0	976.7	-0
70	-0	-0	-0	2149	0	976.7	-0
71	-0	-0	-0	2149	0	976.7	-0
72	-0	-0	-0	2149	0	976.7	-0
73	-0	-0	-0	2149	0	976.7	-0
74	-0	-0	-0	2149	0	976.7	-0
75	-0	-0	-0	2149	0	976.7	-0
76	-0	-0	-0	2149	0	976.7	-0
77	-0	-0	-0	2149	0	976.7	-0
78	-0	-0	-0	2149	0	976.7	-0
79	-0	-0	-0	2149	0	976.7	-0
80	-0	-0	-0	2149	0	976.7	-0
81	-0	-0	-0	2149	0	976.7	-0
82	-0	-0	-0	2149	0	976.7	-0
83	-0	-0	-0	2149	0	976.7	-0
84	-0	-0	-0	2149	0	976.7	-0
85	-0	-0	-0	2149	0	976.7	-0
